start_time	title	url	description
2013-02-22 19:30	Brooklyn Nets vs Houston Rockets	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-houston-rockets	"Lin-sanity" (Jeremy Lin) and "The Beard" (James Harden) make their only appearance at Barclays Center, when the Houston Rockets travel to Brooklyn for what should be a high-octane arrival in Brooklyn. The revamped Rockets have been racing to the rack all season, and the Nets' more deliberate pace provides a stark contrast in style.  var ebVenueID = '1288'; //<![CDATA[  document.write('<img src="https://secure.adnxs.com/seg?member_id=567&add_code=VenueID:' + ebVenueID + ',VenueID1:' + ebVenueID + '&t=2" width="1" height="1" />'); //]]>
2015-10-09 19:30	New York Islanders vs. Chicago Blackhawks	http://www.barclayscenter.com/events/detail/new-york-islanders-vs-chicago-blackhawks	Make your dinner reservations today by calling 917.618.6340 or emailing [emailprotected]. Click Hereto see the event menu at the 40/40 CLUB & Restaurant by American Express.
2015-03-20 19:30	Brooklyn Nets vs. Milwaukee Bucks	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-milwaukee-bucks-3-20-15	
2013-11-18 19:30	Brooklyn Nets vs. Portland Trail Blazers	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-portland-trail-blazers	
2015-04-12 20:00	Stevie Wonder	http://www.barclayscenter.com/events/detail/stevie-wonder-songs-in-the-key-of-life-performance	Legendary singer, songwriter, musician and producerStevie Wonderis bringing hisSONGS IN THE KEY OF LIFE PERFORMANCEtour to Barclays Center on April 12. Rolling Stone declared that the show is possibly 2014s greatest testament to the limitless potential of American music itself, while Billboard stated that the music still resonates and that Wonder provides an electrifying concert and had the audience roaring and standing on its feet. Throughout his career, the celebrated singer has amassed 49 Top 40 singles, 32 #1 singles and worldwide album sales of more than 100 million units. He has received 25 Grammy Awards, an Oscar, and a Golden Globe; is an inductee into the Rock and Roll, Songwriters and NAACP Halls of Fame; and is the youngest recipient of the Kennedy Center Honors. Tickets for this event are on-sale and can be purchased at www.ticketmaster.com or by calling 800-745-3000. Tickets are also available at the American Express Box Office at Barclays Center. For information on individual suites, please call 718-BK-SUITE.   Make your dinner reservations today by calling 917.618.6340 or emailing [emailprotected]. Click Hereto see the event menu at the 40/40 CLUB & Restaurant by American Express.
2013-02-13 19:30	Brooklyn Nets vs Denver Nuggets	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-denver-broncos	During the last 1 1/2 seasons, the Denver Nuggets have refashioned their team as an up-and-down, "D and 3" outfit with 10 players logging double-digit minutes on a nightly basis. Their only trip to Barclays Center brings Andre Iguodala and company for an exciting matchup in Brooklyn.  var ebVenueID = '1288'; //<![CDATA[  document.write('<img src="https://secure.adnxs.com/seg?member_id=567&add_code=VenueID:' + ebVenueID + ',VenueID1:' + ebVenueID + '&t=2" width="1" height="1" />'); //]]>
2014-11-09 15:30	Brooklyn Nets vs. Orlando Magic	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-orlando-magic-11-9-14	
2014-11-25 19:30	Progressive Legends Classic 2014	http://www.barclayscenter.com/events/detail/progressive-legends-classic-2014	For the third consecutive season the Championship Rounds of the Legends Classic men's basketball tournament will be held at Barclays Center on November 24 & 25. Highlighting the field in 2014 are Villanova, Michigan, VCU, and Oregon. These four teams have a combined 80 NCAA Tournament appearances and 13 Final Fours. Championship Rounds  Semifinal Doubleheader Barclays CenterBrooklyn, N.Y. November 247:00PM Villanova vs. VCU (ESPN2) Michigan vs. Oregon (ESPN3) Championship Doubleheader Barclays CenterBrooklyn, N.Y. November 257:30PM Consolation Game (ESPNU) Championship Game (ESPN2)    Tickets for the Championship Rounds of the Legends Classic men's basketball tournament at Barclays Center in Brooklynare on sale now to the general public. Tickets can be purchased by visiting www.ticketmaster.com, or by calling 800-745-3000. Tickets are also available at the American Express Box Office. If purchasing 10+ tickets, make sure to take advantage of our group pricing. More group information can be found below or by calling 855-GROUP-BK.  Group Pricing/Seating Chart Group Tickets Order Form  For information on individual suites Click Hereor call 718.BK.SUITE (718.257.8483) to set up an appointment to meet with a suite representative.   Make your dinner reservations today by calling 917.618.6340 or emailing [emailprotected]. Click Hereto see the event menu at the 40/40 CLUB & Restaurant by American Express.
2015-05-26 19:30	The Who	http://www.barclayscenter.com/events/detail/the-who-hits-50	p.fineprint {  font-size:9px; }  THE WHO, one of rocks most legendary and defining bands, will celebrate their 50-year legacy when they bring their THE WHO HITS 50! tour to Barclays CenteronMay 26. Support act for The Who is the 2015 Rock and Roll Hall of Fame InducteesJoan Jett & the Blackhearts. Tickets are on sale now and can be purchased online viaticketmaster.comor by calling 800.745.3000. Tickets are also available at the American Express Box Office at Barclays Center. For information on individual suites, please call 718.BK.SUITE *Artists and/or support acts are subject to change.  Make your dinner reservations today by calling 917.618.6340 or emailing [emailprotected]. Click Hereto see the event menu at the 40/40 CLUB & Restaurant by American Express.
2014-02-21 19:00	Ringling Bros. Circus	http://www.barclayscenter.com/events/detail/ringling-bros-circus	Witness the Greatest Show On Earth one last time! Be a part of the last curtain call when Ringling Bros. and Barnum & Bailey presents Out Of This World, coming to Barclays Center February 23  March 3. Prepare to blast off on an intergalactic adventure for space-age family fun as the ultimate circus experiences launches into the future. Audiences will take the helm to join the Circus Space Fleet on a heroic quest of good versus evil that will let imaginations run wild with unexpected surprises and thrills at every turn. Through the lens of a magic telescope, Out Of This World transports your entire family on an unforgettable journey as the circus Star Seeker battles to bring the most spectacular and talented performers back to Earth after years in outer space. Children of All Ages will be amazed by the cosmic voyage as you discover the wonders of gravity-defying acrobats, orbital aerialists, majestic animals, fearless daredevils and humorous clowns. Tickets are available for purchase online at www.ticketmaster.com, by calling 800-745-3000, or by visiting the American Express Box Office at Barclays Center. For hotel information, please visit New York Marriott at the Brooklyn Bridge. For special rates, check corporate/promotional code and then enter W85.
