	date	start_time	title	url	description
0	2013-02-22	2013-02-22 19:30:00	Brooklyn Nets vs Houston Rockets	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-houston-rockets	jeremy james harden make their only appearance when houston rocket travel what should highoctane arrival revamped rocket have been racing all season net more provides style
1	2015-10-09	2015-10-09 19:30:00	New York Islanders vs. Chicago Blackhawks	http://www.barclayscenter.com/events/detail/new-york-islanders-vs-chicago-blackhawks	make dinner reservation today calling emailing emailprotected click hereto see event menu club restaurant american express
2	2015-03-20	2015-03-20 19:30:00	Brooklyn Nets vs. Milwaukee Bucks	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-milwaukee-bucks-3-20-15	nan
3	2013-11-18	2013-11-18 19:30:00	Brooklyn Nets vs. Portland Trail Blazers	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-portland-trail-blazers	nan
4	2015-04-12	2015-04-12 20:00:00	Stevie Wonder	http://www.barclayscenter.com/events/detail/stevie-wonder-songs-in-the-key-of-life-performance	legendary singer songwriter musician bringing key life april rolling stone declared that show is possibly greatest testament american music itself while billboard stated that music still that wonder provides an electrifying concert had audience standing it foot throughout his career celebrated singer ha top single single worldwide album sale more than million unit he ha received grammy award an oscar golden globe is an inductee into rock roll songwriter hall fame is recipient kennedy honor this event are onsale can purchased wwwticketmastercomor calling are also available american express box office individual please call 718bksuite make dinner reservation today calling emailing emailprotected click hereto see event menu club restaurant american express
5	2013-02-13	2013-02-13 19:30:00	Brooklyn Nets vs Denver Nuggets	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-denver-broncos	during last season denver nugget have their team a an player doubledigit minute basis their only trip brings andre company an exciting matchup
6	2014-11-09	2014-11-09 15:30:00	Brooklyn Nets vs. Orlando Magic	http://www.barclayscenter.com/events/detail/brooklyn-nets-vs-orlando-magic-11-9-14	nan
7	2014-11-25	2014-11-25 19:30:00	Progressive Legends Classic 2014	http://www.barclayscenter.com/events/detail/progressive-legends-classic-2014	third consecutive season championship round legend classic men basketball tournament held november highlighting field are villanova michigan vcu oregon these four team have combined ncaa tournament appearance final four championship round semifinal doubleheader centerbrooklyn november 00pm villanova v vcu espn2 michigan v oregon espn3 championship doubleheader centerbrooklyn november 30pm consolation game espnu championship game espn2 championship round legend classic men basketball tournament brooklynare sale now general public can purchased visiting wwwticketmastercomor calling are also available american express box office if purchasing make sure take advantage our group pricing more group can found below calling 855groupbk group pricing seating chart group order form individual click hereor call bk set up an appointment meet representative make dinner reservation today calling emailing emailprotected click hereto see event menu club restaurant american express
8	2015-05-26	2015-05-26 19:30:00	The Who	http://www.barclayscenter.com/events/detail/the-who-hits-50	fineprint fontsize 9px who one rock most legendary band celebrate their legacy when they bring their who hit tour support act who is rock roll hall fame are sale now can purchased online viaticketmaster comor calling are also available american express box office individual please call bk artist support act are subject change make dinner reservation today calling emailing emailprotected click hereto see event menu club restaurant american express
9	2014-02-21	2014-02-21 19:00:00	Ringling Bros. Circus	http://www.barclayscenter.com/events/detail/ringling-bros-circus	witness greatest show earth one last time part last curtain call when ringling bros barnum bailey present out this world coming february march prepare blast off an intergalactic adventure spaceage family fun a ultimate circus experience launch into future audience take helm join circus space fleet heroic quest good versus evil that let imagination run wild unexpected surprise thrill every turn through lens magic telescope out this world transport entire family an unforgettable journey a circus star seeker battle bring most spectacular talented performer back earth after year outer space child all age amazed cosmic voyage a you discover wonder gravitydefying acrobat orbital aerialist majestic animal fearless daredevil humorous clown are available purchase online wwwticketmastercomby calling visiting american express box office hotel please visit new york marriott bridge special rate check corporate promotional code then enter w85
