LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
119.619,119.179,100.877,99.661,95.042,120.815,120.425,100.951,99.625,95.303,96.953,92.661,
119.619,119.179,100.877,99.661,95.042,122.968,119.327,103.041,98.546,97.140,96.221,94.215,
119.619,119.179,100.877,99.661,95.042,122.116,119.956,100.698,99.718,95.280,96.441,92.576,
119.619,119.179,100.877,99.661,95.042,120.889,120.715,100.141,100.707,94.177,96.238,93.424,
119.619,119.179,100.877,99.661,95.042,120.247,121.976,101.313,100.228,95.256,96.339,92.682,
119.619,119.179,100.877,99.661,95.042,120.688,119.068,101.514,101.010,94.667,95.273,92.648,
119.619,119.179,100.877,99.661,95.042,119.877,119.507,100.535,99.684,95.523,96.488,94.218,
119.619,119.179,100.877,99.661,95.042,120.171,121.584,100.855,99.933,95.641,95.755,92.855,
119.619,119.179,100.877,99.661,95.042,121.860,119.709,100.162,99.559,96.085,98.022,92.992,
119.619,119.179,100.877,99.661,95.042,122.414,119.357,99.904,100.779,95.401,96.115,92.354,
119.619,119.179,100.877,99.661,95.042,121.015,119.283,100.805,99.790,96.793,97.079,92.702,
119.619,119.179,100.877,99.661,95.042,119.191,118.833,100.333,99.240,95.801,97.037,92.329,
119.619,119.179,100.877,99.661,95.042,120.664,119.372,101.184,98.877,94.735,95.959,92.840,
119.619,119.179,100.877,99.661,95.042,119.940,120.769,102.491,101.014,95.801,95.869,92.803,
119.619,119.179,100.877,99.661,95.042,120.932,119.092,100.988,99.577,93.870,96.755,93.708,
119.619,119.179,100.877,99.661,95.042,120.136,117.439,100.322,100.279,95.558,96.070,94.653,
119.619,119.179,100.877,99.661,95.042,119.224,120.534,103.070,100.270,96.389,96.025,93.388,
119.619,119.179,100.877,99.661,95.042,120.808,118.795,100.956,98.195,93.717,97.472,93.748,
119.619,119.179,100.877,99.661,95.042,120.169,119.807,100.973,99.479,96.522,96.497,93.107,
119.619,119.179,100.877,99.661,95.042,121.068,120.122,100.599,98.435,95.028,95.807,96.360,
119.619,119.179,100.877,99.661,95.042,120.388,118.841,100.401,98.939,96.438,96.918,93.302,
119.619,119.179,100.877,99.661,95.042,120.962,119.789,100.417,99.515,95.334,95.635,92.996,
119.619,119.179,100.877,99.661,95.042,119.369,120.086,101.770,99.251,96.700,96.520,92.141,
119.619,119.179,100.877,99.661,95.042,119.578,119.851,100.624,101.087,96.769,94.768,92.163,
119.619,119.179,100.877,99.661,95.042,120.224,118.732,101.067,100.929,93.907,95.008,93.596,
119.619,119.179,100.877,99.661,95.042,119.756,120.255,99.834,98.215,96.890,95.654,93.851,
119.619,119.179,100.877,99.661,95.042,122.690,121.434,100.197,100.839,94.480,95.820,93.108,
119.619,119.179,100.877,99.661,95.042,121.910,119.548,101.902,100.296,95.902,94.890,92.724,
119.619,119.179,100.877,99.661,95.042,123.956,118.397,101.008,102.639,96.199,96.009,93.651,
119.619,119.179,100.877,99.661,95.042,119.928,120.605,99.813,99.621,95.268,96.006,93.298,
