LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
15.387,15.375,13.115,12.965,12.536,15.810,15.741,13.455,13.140,12.674,12.622,12.257,
15.387,15.375,13.115,12.965,12.536,16.195,15.536,13.772,12.790,12.956,12.491,12.440,
15.387,15.375,13.115,12.965,12.536,16.026,15.625,13.182,13.089,12.602,12.716,12.195,
15.387,15.375,13.115,12.965,12.536,15.895,15.931,13.194,13.326,12.521,12.602,12.338,
15.387,15.375,13.115,12.965,12.536,15.752,16.149,13.211,13.312,12.498,12.566,12.100,
15.387,15.375,13.115,12.965,12.536,15.801,15.554,13.333,13.115,12.570,12.592,12.141,
15.387,15.375,13.115,12.965,12.536,15.544,15.529,13.202,13.093,12.646,12.572,12.195,
15.387,15.375,13.115,12.965,12.536,15.648,15.923,13.332,13.276,12.670,12.534,12.257,
15.387,15.375,13.115,12.965,12.536,15.930,15.497,13.075,13.060,12.907,12.806,12.256,
15.387,15.375,13.115,12.965,12.536,16.119,15.462,13.092,13.453,12.462,12.662,12.182,
15.387,15.375,13.115,12.965,12.536,15.844,15.490,13.133,13.133,12.925,12.391,12.244,
15.387,15.375,13.115,12.965,12.536,15.303,15.519,13.122,13.144,12.826,12.806,12.259,
15.387,15.375,13.115,12.965,12.536,15.763,15.531,13.429,12.907,12.655,12.392,12.204,
15.387,15.375,13.115,12.965,12.536,15.628,15.842,13.583,13.417,12.684,12.485,12.120,
15.387,15.375,13.115,12.965,12.536,15.868,15.416,13.283,13.105,12.293,12.784,12.262,
15.387,15.375,13.115,12.965,12.536,15.688,15.104,13.120,13.226,12.608,12.470,12.411,
15.387,15.375,13.115,12.965,12.536,15.314,15.842,13.697,13.197,12.752,12.536,12.367,
15.387,15.375,13.115,12.965,12.536,15.738,15.375,13.187,12.856,12.422,12.865,12.245,
15.387,15.375,13.115,12.965,12.536,15.577,15.499,13.375,13.043,12.965,12.632,12.173,
15.387,15.375,13.115,12.965,12.536,15.868,15.656,13.250,12.968,12.645,12.479,12.513,
15.387,15.375,13.115,12.965,12.536,15.771,15.404,13.171,12.907,12.717,12.634,12.323,
15.387,15.375,13.115,12.965,12.536,15.789,15.646,13.179,13.037,12.594,12.578,12.323,
15.387,15.375,13.115,12.965,12.536,15.527,15.611,13.448,13.175,13.019,12.744,12.261,
15.387,15.375,13.115,12.965,12.536,15.534,15.667,13.218,13.296,12.907,12.475,12.234,
15.387,15.375,13.115,12.965,12.536,15.600,15.468,13.204,13.412,12.460,12.413,12.424,
15.387,15.375,13.115,12.965,12.536,15.348,15.797,13.103,12.952,12.873,12.594,12.403,
15.387,15.375,13.115,12.965,12.536,16.075,16.026,13.012,13.287,12.630,12.402,12.216,
15.387,15.375,13.115,12.965,12.536,15.946,15.715,13.549,13.256,12.688,12.484,12.105,
15.387,15.375,13.115,12.965,12.536,16.409,15.440,13.328,13.631,12.833,12.691,12.344,
15.387,15.375,13.115,12.965,12.536,15.597,15.764,13.007,13.031,12.296,12.416,12.283,
