LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.448,0.452,0.585,0.594,0.624,0.469,0.475,0.598,0.609,0.628,0.623,0.645,
0.448,0.452,0.585,0.594,0.624,0.465,0.474,0.588,0.608,0.622,0.624,0.640,
0.448,0.452,0.585,0.594,0.624,0.471,0.474,0.597,0.605,0.629,0.625,0.645,
0.448,0.452,0.585,0.594,0.624,0.469,0.477,0.601,0.602,0.638,0.621,0.642,
0.448,0.452,0.585,0.594,0.624,0.470,0.470,0.591,0.603,0.630,0.622,0.649,
0.448,0.452,0.585,0.594,0.624,0.470,0.477,0.592,0.592,0.635,0.631,0.650,
0.448,0.452,0.585,0.594,0.624,0.467,0.477,0.595,0.605,0.632,0.624,0.636,
0.448,0.452,0.585,0.594,0.624,0.465,0.465,0.597,0.606,0.627,0.625,0.649,
0.448,0.452,0.585,0.594,0.624,0.468,0.473,0.599,0.604,0.624,0.616,0.645,
0.448,0.452,0.585,0.594,0.624,0.464,0.476,0.597,0.601,0.628,0.621,0.643,
0.448,0.452,0.585,0.594,0.624,0.469,0.477,0.597,0.606,0.625,0.617,0.645,
0.448,0.452,0.585,0.594,0.624,0.466,0.478,0.597,0.608,0.628,0.623,0.646,
0.448,0.452,0.585,0.594,0.624,0.470,0.478,0.595,0.604,0.636,0.625,0.647,
0.448,0.452,0.585,0.594,0.624,0.472,0.473,0.591,0.602,0.625,0.625,0.642,
0.448,0.452,0.585,0.594,0.624,0.471,0.476,0.596,0.605,0.637,0.622,0.639,
0.448,0.452,0.585,0.594,0.624,0.468,0.476,0.595,0.602,0.627,0.622,0.636,
0.448,0.452,0.585,0.594,0.624,0.467,0.472,0.587,0.604,0.628,0.623,0.643,
0.448,0.452,0.585,0.594,0.624,0.468,0.474,0.592,0.614,0.633,0.619,0.638,
0.448,0.452,0.585,0.594,0.624,0.467,0.472,0.596,0.604,0.628,0.622,0.645,
0.448,0.452,0.585,0.594,0.624,0.467,0.478,0.596,0.612,0.634,0.628,0.628,
0.448,0.452,0.585,0.594,0.624,0.474,0.480,0.595,0.606,0.632,0.618,0.642,
0.448,0.452,0.585,0.594,0.624,0.465,0.474,0.597,0.604,0.632,0.627,0.643,
0.448,0.452,0.585,0.594,0.624,0.474,0.470,0.594,0.608,0.628,0.624,0.649,
0.448,0.452,0.585,0.594,0.624,0.472,0.478,0.595,0.599,0.624,0.636,0.649,
0.448,0.452,0.585,0.594,0.624,0.465,0.481,0.592,0.601,0.638,0.633,0.644,
0.448,0.452,0.585,0.594,0.624,0.461,0.477,0.602,0.612,0.624,0.626,0.639,
0.448,0.452,0.585,0.594,0.624,0.459,0.470,0.597,0.601,0.634,0.627,0.642,
0.448,0.452,0.585,0.594,0.624,0.464,0.473,0.595,0.602,0.625,0.633,0.646,
0.448,0.452,0.585,0.594,0.624,0.457,0.482,0.593,0.594,0.630,0.626,0.640,
0.448,0.452,0.585,0.594,0.624,0.467,0.471,0.601,0.602,0.625,0.622,0.645,
