LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.660,0.658,0.557,0.550,0.525,0.667,0.665,0.557,0.550,0.526,0.535,0.511,
0.660,0.658,0.557,0.550,0.525,0.679,0.659,0.569,0.544,0.536,0.531,0.520,
0.660,0.658,0.557,0.550,0.525,0.674,0.662,0.556,0.550,0.526,0.532,0.511,
0.660,0.658,0.557,0.550,0.525,0.667,0.666,0.553,0.556,0.520,0.531,0.516,
0.660,0.658,0.557,0.550,0.525,0.664,0.673,0.559,0.553,0.526,0.532,0.511,
0.660,0.658,0.557,0.550,0.525,0.666,0.657,0.560,0.557,0.522,0.526,0.511,
0.660,0.658,0.557,0.550,0.525,0.662,0.660,0.555,0.550,0.527,0.533,0.520,
0.660,0.658,0.557,0.550,0.525,0.663,0.671,0.557,0.552,0.528,0.528,0.512,
0.660,0.658,0.557,0.550,0.525,0.673,0.661,0.553,0.549,0.530,0.541,0.513,
0.660,0.658,0.557,0.550,0.525,0.676,0.659,0.551,0.556,0.527,0.530,0.510,
0.660,0.658,0.557,0.550,0.525,0.668,0.658,0.556,0.551,0.534,0.536,0.512,
0.660,0.658,0.557,0.550,0.525,0.658,0.656,0.554,0.548,0.529,0.536,0.510,
0.660,0.658,0.557,0.550,0.525,0.666,0.659,0.558,0.546,0.523,0.530,0.512,
0.660,0.658,0.557,0.550,0.525,0.662,0.667,0.566,0.557,0.529,0.529,0.512,
0.660,0.658,0.557,0.550,0.525,0.667,0.657,0.557,0.550,0.518,0.534,0.517,
0.660,0.658,0.557,0.550,0.525,0.663,0.648,0.554,0.553,0.527,0.530,0.522,
0.660,0.658,0.557,0.550,0.525,0.658,0.665,0.569,0.553,0.532,0.530,0.515,
0.660,0.658,0.557,0.550,0.525,0.667,0.656,0.557,0.542,0.517,0.538,0.517,
0.660,0.658,0.557,0.550,0.525,0.663,0.661,0.557,0.549,0.533,0.533,0.514,
0.660,0.658,0.557,0.550,0.525,0.668,0.663,0.555,0.543,0.524,0.529,0.532,
0.660,0.658,0.557,0.550,0.525,0.664,0.656,0.554,0.546,0.532,0.535,0.515,
0.660,0.658,0.557,0.550,0.525,0.668,0.661,0.554,0.549,0.526,0.528,0.513,
0.660,0.658,0.557,0.550,0.525,0.659,0.663,0.562,0.548,0.534,0.533,0.509,
0.660,0.658,0.557,0.550,0.525,0.660,0.661,0.555,0.558,0.534,0.523,0.509,
0.660,0.658,0.557,0.550,0.525,0.664,0.655,0.558,0.557,0.518,0.524,0.517,
0.660,0.658,0.557,0.550,0.525,0.661,0.664,0.551,0.542,0.535,0.528,0.518,
0.660,0.658,0.557,0.550,0.525,0.677,0.670,0.553,0.557,0.521,0.529,0.514,
0.660,0.658,0.557,0.550,0.525,0.673,0.660,0.562,0.554,0.529,0.524,0.512,
0.660,0.658,0.557,0.550,0.525,0.684,0.653,0.557,0.566,0.531,0.530,0.517,
0.660,0.658,0.557,0.550,0.525,0.662,0.666,0.551,0.550,0.526,0.530,0.515,
