LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
164.510,164.009,142.710,141.063,135.896,161.461,160.556,140.495,138.536,135.075,136.067,131.941,
164.510,164.009,142.710,141.063,135.896,161.932,160.597,142.165,138.754,136.242,135.732,132.867,
164.510,164.009,142.710,141.063,135.896,161.162,160.655,140.616,139.284,134.995,135.638,132.013,
164.510,164.009,142.710,141.063,135.896,161.415,160.226,139.873,139.651,133.303,136.281,132.553,
164.510,164.009,142.710,141.063,135.896,161.294,161.279,141.617,139.487,134.806,136.194,131.259,
164.510,164.009,142.710,141.063,135.896,161.267,160.147,141.428,141.389,133.838,134.471,130.992,
164.510,164.009,142.710,141.063,135.896,161.660,160.177,140.929,139.177,134.274,135.805,133.590,
164.510,164.009,142.710,141.063,135.896,162.063,161.991,140.547,139.049,135.308,135.655,131.274,
164.510,164.009,142.710,141.063,135.896,161.587,160.801,140.172,139.299,135.791,137.197,132.007,
164.510,164.009,142.710,141.063,135.896,162.156,160.307,140.545,139.969,135.109,136.397,132.423,
164.510,164.009,142.710,141.063,135.896,161.392,160.111,140.528,139.061,135.646,137.041,132.003,
164.510,164.009,142.710,141.063,135.896,161.828,160.065,140.643,138.634,135.139,136.064,131.689,
164.510,164.009,142.710,141.063,135.896,161.273,160.086,140.924,139.354,133.659,135.628,131.676,
164.510,164.009,142.710,141.063,135.896,160.902,160.733,141.578,139.659,135.663,135.607,132.540,
164.510,164.009,142.710,141.063,135.896,161.091,160.390,140.735,139.219,133.513,136.133,133.089,
164.510,164.009,142.710,141.063,135.896,161.524,160.284,141.005,139.708,135.225,136.212,133.593,
164.510,164.009,142.710,141.063,135.896,161.764,160.930,142.388,139.464,135.093,135.918,132.368,
164.510,164.009,142.710,141.063,135.896,161.609,160.587,141.541,137.665,134.182,136.646,133.244,
164.510,164.009,142.710,141.063,135.896,161.681,160.977,140.775,139.443,135.118,136.140,131.983,
164.510,164.009,142.710,141.063,135.896,161.734,159.994,140.755,137.988,133.920,135.005,135.161,
164.510,164.009,142.710,141.063,135.896,160.579,159.696,140.871,139.063,134.378,136.849,132.448,
164.510,164.009,142.710,141.063,135.896,161.966,160.600,140.668,139.463,134.409,135.265,132.332,
164.510,164.009,142.710,141.063,135.896,160.613,161.313,141.197,138.679,135.089,135.862,131.249,
164.510,164.009,142.710,141.063,135.896,160.886,160.094,140.876,140.320,135.791,133.679,131.251,
164.510,164.009,142.710,141.063,135.896,162.037,159.568,141.543,139.987,133.217,134.184,132.179,
164.510,164.009,142.710,141.063,135.896,162.646,160.107,139.654,137.941,135.826,135.361,133.009,
164.510,164.009,142.710,141.063,135.896,162.950,161.223,140.523,139.849,133.984,135.240,132.496,
164.510,164.009,142.710,141.063,135.896,162.216,160.795,140.947,139.772,135.676,134.249,131.844,
164.510,164.009,142.710,141.063,135.896,163.163,159.418,141.235,141.123,134.796,135.372,132.804,
164.510,164.009,142.710,141.063,135.896,161.666,161.142,139.856,139.690,135.596,136.127,132.027,
