LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.743,0.741,0.644,0.637,0.614,0.729,0.725,0.634,0.625,0.610,0.614,0.596,
0.743,0.741,0.644,0.637,0.614,0.731,0.725,0.642,0.626,0.615,0.613,0.600,
0.743,0.741,0.644,0.637,0.614,0.728,0.725,0.635,0.629,0.610,0.612,0.596,
0.743,0.741,0.644,0.637,0.614,0.729,0.723,0.632,0.631,0.602,0.615,0.598,
0.743,0.741,0.644,0.637,0.614,0.728,0.728,0.639,0.630,0.609,0.615,0.593,
0.743,0.741,0.644,0.637,0.614,0.728,0.723,0.639,0.638,0.604,0.607,0.591,
0.743,0.741,0.644,0.637,0.614,0.730,0.723,0.636,0.628,0.606,0.613,0.603,
0.743,0.741,0.644,0.637,0.614,0.732,0.731,0.635,0.628,0.611,0.612,0.593,
0.743,0.741,0.644,0.637,0.614,0.730,0.726,0.633,0.629,0.613,0.619,0.596,
0.743,0.741,0.644,0.637,0.614,0.732,0.724,0.635,0.632,0.610,0.616,0.598,
0.743,0.741,0.644,0.637,0.614,0.729,0.723,0.634,0.628,0.612,0.619,0.596,
0.743,0.741,0.644,0.637,0.614,0.731,0.723,0.635,0.626,0.610,0.614,0.595,
0.743,0.741,0.644,0.637,0.614,0.728,0.723,0.636,0.629,0.603,0.612,0.595,
0.743,0.741,0.644,0.637,0.614,0.726,0.726,0.639,0.631,0.613,0.612,0.598,
0.743,0.741,0.644,0.637,0.614,0.727,0.724,0.635,0.629,0.603,0.615,0.601,
0.743,0.741,0.644,0.637,0.614,0.729,0.724,0.637,0.631,0.611,0.615,0.603,
0.743,0.741,0.644,0.637,0.614,0.730,0.727,0.643,0.630,0.610,0.614,0.598,
0.743,0.741,0.644,0.637,0.614,0.730,0.725,0.639,0.622,0.606,0.617,0.602,
0.743,0.741,0.644,0.637,0.614,0.730,0.727,0.636,0.630,0.610,0.615,0.596,
0.743,0.741,0.644,0.637,0.614,0.730,0.722,0.636,0.623,0.605,0.610,0.610,
0.743,0.741,0.644,0.637,0.614,0.725,0.721,0.636,0.628,0.607,0.618,0.598,
0.743,0.741,0.644,0.637,0.614,0.731,0.725,0.635,0.630,0.607,0.611,0.597,
0.743,0.741,0.644,0.637,0.614,0.725,0.728,0.638,0.626,0.610,0.613,0.593,
0.743,0.741,0.644,0.637,0.614,0.726,0.723,0.636,0.634,0.613,0.604,0.593,
0.743,0.741,0.644,0.637,0.614,0.732,0.720,0.639,0.632,0.601,0.606,0.597,
0.743,0.741,0.644,0.637,0.614,0.734,0.723,0.631,0.623,0.613,0.611,0.601,
0.743,0.741,0.644,0.637,0.614,0.736,0.728,0.634,0.631,0.605,0.611,0.598,
0.743,0.741,0.644,0.637,0.614,0.732,0.726,0.636,0.631,0.613,0.606,0.595,
0.743,0.741,0.644,0.637,0.614,0.737,0.720,0.638,0.637,0.609,0.611,0.600,
0.743,0.741,0.644,0.637,0.614,0.730,0.728,0.631,0.631,0.612,0.615,0.596,
