LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
119.619,119.179,100.877,99.661,95.042,126.608,128.802,107.088,102.885,105.329,101.300,100.523,
119.619,119.179,100.877,99.661,95.042,127.102,128.300,105.847,106.953,102.517,99.931,103.263,
119.619,119.179,100.877,99.661,95.042,127.267,131.259,107.819,103.908,102.740,100.917,97.394,
119.619,119.179,100.877,99.661,95.042,127.417,128.823,110.220,103.479,104.296,99.346,101.434,
119.619,119.179,100.877,99.661,95.042,126.459,129.822,105.473,103.324,104.141,98.422,100.340,
119.619,119.179,100.877,99.661,95.042,126.777,131.314,105.650,103.294,103.881,99.970,100.818,
119.619,119.179,100.877,99.661,95.042,127.252,130.441,105.378,103.466,104.489,101.003,100.980,
119.619,119.179,100.877,99.661,95.042,132.759,129.057,105.354,102.905,103.079,100.550,100.507,
119.619,119.179,100.877,99.661,95.042,126.361,131.971,106.041,104.957,103.043,100.362,101.203,
119.619,119.179,100.877,99.661,95.042,127.344,130.209,105.614,104.358,102.707,101.014,101.041,
119.619,119.179,100.877,99.661,95.042,126.214,129.340,106.904,105.150,105.038,101.020,98.855,
119.619,119.179,100.877,99.661,95.042,128.431,130.452,105.776,102.638,104.505,99.556,101.123,
119.619,119.179,100.877,99.661,95.042,134.299,131.432,105.387,106.092,104.636,99.578,100.720,
119.619,119.179,100.877,99.661,95.042,126.786,132.796,106.376,103.920,103.812,99.976,101.540,
119.619,119.179,100.877,99.661,95.042,125.927,129.698,106.874,103.014,102.081,100.798,100.144,
119.619,119.179,100.877,99.661,95.042,127.073,128.463,106.575,102.460,106.782,99.011,99.450,
119.619,119.179,100.877,99.661,95.042,132.482,130.300,106.093,102.365,102.242,100.991,100.293,
119.619,119.179,100.877,99.661,95.042,126.853,130.807,108.261,102.615,102.682,102.197,103.950,
119.619,119.179,100.877,99.661,95.042,132.920,127.977,107.042,104.290,102.595,102.345,100.860,
119.619,119.179,100.877,99.661,95.042,126.722,125.251,105.019,103.751,103.318,101.194,99.921,
119.619,119.179,100.877,99.661,95.042,128.613,129.343,107.038,102.582,104.715,99.451,102.360,
119.619,119.179,100.877,99.661,95.042,127.411,130.939,109.860,103.172,103.734,98.842,101.022,
119.619,119.179,100.877,99.661,95.042,131.689,127.416,106.008,104.987,103.791,98.756,101.031,
119.619,119.179,100.877,99.661,95.042,126.797,128.614,107.587,104.157,105.745,103.264,99.399,
119.619,119.179,100.877,99.661,95.042,126.361,129.332,105.501,102.843,104.151,107.445,101.987,
119.619,119.179,100.877,99.661,95.042,131.556,130.278,104.003,103.368,103.089,98.977,100.443,
119.619,119.179,100.877,99.661,95.042,127.514,131.731,105.724,101.720,104.897,98.924,99.581,
119.619,119.179,100.877,99.661,95.042,126.579,128.622,107.071,103.139,104.184,98.369,102.229,
119.619,119.179,100.877,99.661,95.042,129.018,126.805,105.181,104.764,103.911,98.114,100.339,
119.619,119.179,100.877,99.661,95.042,130.789,129.547,106.778,104.532,104.647,100.652,100.700,
