LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
15.387,15.375,13.115,12.965,12.536,15.786,16.596,13.877,12.892,13.591,13.034,13.013,
15.387,15.375,13.115,12.965,12.536,15.669,16.503,13.473,13.738,13.177,12.981,13.162,
15.387,15.375,13.115,12.965,12.536,15.637,16.573,13.886,13.294,13.162,13.122,12.375,
15.387,15.375,13.115,12.965,12.536,15.800,16.587,14.235,13.342,13.174,12.482,12.961,
15.387,15.375,13.115,12.965,12.536,15.828,16.774,13.441,12.874,13.457,12.683,12.907,
15.387,15.375,13.115,12.965,12.536,16.098,16.899,13.606,13.174,13.356,12.817,12.956,
15.387,15.375,13.115,12.965,12.536,15.785,16.728,13.527,13.225,13.349,12.981,12.887,
15.387,15.375,13.115,12.965,12.536,15.949,16.273,13.481,13.166,13.005,13.003,12.934,
15.387,15.375,13.115,12.965,12.536,15.879,16.635,13.588,13.606,13.157,12.859,12.910,
15.387,15.375,13.115,12.965,12.536,15.737,16.650,13.154,13.211,13.030,13.071,12.857,
15.387,15.375,13.115,12.965,12.536,16.163,16.447,13.758,13.537,13.542,12.947,12.608,
15.387,15.375,13.115,12.965,12.536,15.676,16.956,13.404,13.065,13.559,12.851,12.855,
15.387,15.375,13.115,12.965,12.536,15.781,16.797,13.236,13.504,13.287,12.652,12.866,
15.387,15.375,13.115,12.965,12.536,15.775,16.810,13.730,13.271,13.239,12.921,12.872,
15.387,15.375,13.115,12.965,12.536,15.995,16.436,13.743,12.806,13.110,13.062,12.843,
15.387,15.375,13.115,12.965,12.536,15.784,16.643,13.669,13.069,13.852,12.586,12.587,
15.387,15.375,13.115,12.965,12.536,15.894,16.599,13.563,12.896,12.990,12.723,12.774,
15.387,15.375,13.115,12.965,12.536,16.021,16.674,14.042,12.920,13.060,13.263,13.052,
15.387,15.375,13.115,12.965,12.536,15.871,16.295,13.604,13.286,13.021,13.105,12.755,
15.387,15.375,13.115,12.965,12.536,15.773,16.276,13.273,13.339,13.328,12.937,12.856,
15.387,15.375,13.115,12.965,12.536,15.710,16.363,13.742,13.081,13.532,12.732,13.141,
15.387,15.375,13.115,12.965,12.536,16.208,16.839,14.100,13.171,13.208,12.572,13.096,
15.387,15.375,13.115,12.965,12.536,16.051,16.356,13.363,13.286,13.378,12.648,13.094,
15.387,15.375,13.115,12.965,12.536,15.772,16.344,13.816,13.463,13.635,12.834,12.628,
15.387,15.375,13.115,12.965,12.536,16.008,16.825,13.411,13.313,13.395,13.621,12.981,
15.387,15.375,13.115,12.965,12.536,15.909,16.398,13.039,13.132,13.132,12.500,12.945,
15.387,15.375,13.115,12.965,12.536,15.661,16.951,13.380,13.165,13.487,12.645,12.859,
15.387,15.375,13.115,12.965,12.536,16.067,16.675,13.615,13.278,13.313,12.513,13.316,
15.387,15.375,13.115,12.965,12.536,15.695,16.268,13.321,13.303,13.258,12.470,12.936,
15.387,15.375,13.115,12.965,12.536,16.411,16.654,13.598,13.360,13.552,12.730,12.937,
