LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.448,0.452,0.585,0.594,0.624,0.417,0.433,0.574,0.584,0.590,0.598,0.601,
0.448,0.452,0.585,0.594,0.624,0.406,0.436,0.568,0.574,0.600,0.609,0.584,
0.448,0.452,0.585,0.594,0.624,0.399,0.403,0.570,0.591,0.599,0.608,0.619,
0.448,0.452,0.585,0.594,0.624,0.404,0.425,0.564,0.596,0.581,0.604,0.602,
0.448,0.452,0.585,0.594,0.624,0.415,0.417,0.575,0.578,0.595,0.618,0.600,
0.448,0.452,0.585,0.594,0.624,0.420,0.418,0.579,0.592,0.595,0.611,0.599,
0.448,0.452,0.585,0.594,0.624,0.405,0.422,0.577,0.592,0.588,0.598,0.595,
0.448,0.452,0.585,0.594,0.624,0.357,0.412,0.578,0.595,0.590,0.611,0.599,
0.448,0.452,0.585,0.594,0.624,0.425,0.399,0.575,0.593,0.595,0.601,0.594,
0.448,0.452,0.585,0.594,0.624,0.400,0.419,0.558,0.581,0.592,0.598,0.599,
0.448,0.452,0.585,0.594,0.624,0.427,0.425,0.570,0.589,0.590,0.600,0.611,
0.448,0.452,0.585,0.594,0.624,0.392,0.434,0.568,0.594,0.596,0.611,0.596,
0.448,0.452,0.585,0.594,0.624,0.322,0.416,0.564,0.573,0.583,0.603,0.600,
0.448,0.452,0.585,0.594,0.624,0.415,0.398,0.576,0.587,0.589,0.606,0.595,
0.448,0.452,0.585,0.594,0.624,0.432,0.416,0.574,0.579,0.604,0.612,0.604,
0.448,0.452,0.585,0.594,0.624,0.413,0.435,0.573,0.596,0.582,0.607,0.609,
0.448,0.452,0.585,0.594,0.624,0.357,0.407,0.573,0.590,0.598,0.596,0.600,
0.448,0.452,0.585,0.594,0.624,0.418,0.412,0.569,0.588,0.595,0.597,0.580,
0.448,0.452,0.585,0.594,0.624,0.349,0.423,0.563,0.587,0.594,0.590,0.598,
0.448,0.452,0.585,0.594,0.624,0.415,0.446,0.568,0.594,0.600,0.595,0.606,
0.448,0.452,0.585,0.594,0.624,0.386,0.420,0.568,0.595,0.592,0.613,0.598,
0.448,0.452,0.585,0.594,0.624,0.416,0.420,0.552,0.594,0.592,0.608,0.597,
0.448,0.452,0.585,0.594,0.624,0.378,0.437,0.562,0.578,0.599,0.617,0.598,
0.448,0.452,0.585,0.594,0.624,0.421,0.421,0.565,0.596,0.585,0.580,0.605,
0.448,0.452,0.585,0.594,0.624,0.424,0.430,0.573,0.602,0.595,0.561,0.594,
0.448,0.452,0.585,0.594,0.624,0.372,0.404,0.573,0.590,0.595,0.607,0.606,
0.448,0.452,0.585,0.594,0.624,0.399,0.417,0.567,0.598,0.589,0.614,0.612,
0.448,0.452,0.585,0.594,0.624,0.425,0.434,0.560,0.598,0.588,0.615,0.590,
0.448,0.452,0.585,0.594,0.624,0.382,0.436,0.572,0.579,0.592,0.615,0.599,
0.448,0.452,0.585,0.594,0.624,0.411,0.423,0.565,0.589,0.596,0.597,0.604,
