LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.660,0.658,0.557,0.550,0.525,0.699,0.711,0.591,0.568,0.581,0.559,0.555,
0.660,0.658,0.557,0.550,0.525,0.701,0.708,0.584,0.590,0.566,0.552,0.570,
0.660,0.658,0.557,0.550,0.525,0.702,0.724,0.595,0.573,0.567,0.557,0.538,
0.660,0.658,0.557,0.550,0.525,0.703,0.711,0.608,0.571,0.576,0.548,0.560,
0.660,0.658,0.557,0.550,0.525,0.698,0.716,0.582,0.570,0.575,0.543,0.554,
0.660,0.658,0.557,0.550,0.525,0.700,0.725,0.583,0.570,0.573,0.552,0.556,
0.660,0.658,0.557,0.550,0.525,0.702,0.720,0.582,0.571,0.577,0.557,0.557,
0.660,0.658,0.557,0.550,0.525,0.733,0.712,0.581,0.568,0.569,0.555,0.555,
0.660,0.658,0.557,0.550,0.525,0.697,0.728,0.585,0.579,0.569,0.554,0.559,
0.660,0.658,0.557,0.550,0.525,0.703,0.719,0.583,0.576,0.567,0.557,0.558,
0.660,0.658,0.557,0.550,0.525,0.697,0.714,0.590,0.580,0.580,0.558,0.546,
0.660,0.658,0.557,0.550,0.525,0.709,0.720,0.584,0.566,0.577,0.549,0.558,
0.660,0.658,0.557,0.550,0.525,0.741,0.725,0.582,0.586,0.577,0.550,0.556,
0.660,0.658,0.557,0.550,0.525,0.700,0.733,0.587,0.574,0.573,0.552,0.560,
0.660,0.658,0.557,0.550,0.525,0.695,0.716,0.590,0.569,0.563,0.556,0.553,
0.660,0.658,0.557,0.550,0.525,0.701,0.709,0.588,0.565,0.589,0.546,0.549,
0.660,0.658,0.557,0.550,0.525,0.731,0.719,0.586,0.565,0.564,0.557,0.554,
0.660,0.658,0.557,0.550,0.525,0.700,0.722,0.597,0.566,0.567,0.564,0.574,
0.660,0.658,0.557,0.550,0.525,0.734,0.706,0.591,0.576,0.566,0.565,0.557,
0.660,0.658,0.557,0.550,0.525,0.699,0.691,0.580,0.573,0.570,0.558,0.551,
0.660,0.658,0.557,0.550,0.525,0.710,0.714,0.591,0.566,0.578,0.549,0.565,
0.660,0.658,0.557,0.550,0.525,0.703,0.723,0.606,0.569,0.572,0.546,0.558,
0.660,0.658,0.557,0.550,0.525,0.727,0.703,0.585,0.579,0.573,0.545,0.558,
0.660,0.658,0.557,0.550,0.525,0.700,0.710,0.594,0.575,0.584,0.570,0.549,
0.660,0.658,0.557,0.550,0.525,0.697,0.714,0.582,0.568,0.575,0.593,0.563,
0.660,0.658,0.557,0.550,0.525,0.726,0.719,0.574,0.570,0.569,0.546,0.554,
0.660,0.658,0.557,0.550,0.525,0.704,0.727,0.583,0.561,0.579,0.546,0.550,
0.660,0.658,0.557,0.550,0.525,0.699,0.710,0.591,0.569,0.575,0.543,0.564,
0.660,0.658,0.557,0.550,0.525,0.712,0.700,0.580,0.578,0.573,0.541,0.554,
0.660,0.658,0.557,0.550,0.525,0.722,0.715,0.589,0.577,0.578,0.555,0.556,
