LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
164.510,164.009,142.710,141.063,135.896,169.119,166.807,144.613,142.922,141.756,140.419,139.856,
164.510,164.009,142.710,141.063,135.896,170.711,166.309,145.544,144.480,140.117,138.499,142.887,
164.510,164.009,142.710,141.063,135.896,171.719,171.125,145.247,141.692,140.282,138.648,136.781,
164.510,164.009,142.710,141.063,135.896,170.916,167.877,146.320,140.793,143.399,139.438,139.733,
164.510,164.009,142.710,141.063,135.896,169.337,169.049,144.381,143.920,140.919,136.907,140.058,
164.510,164.009,142.710,141.063,135.896,168.620,169.032,143.788,141.515,140.911,138.081,140.313,
164.510,164.009,142.710,141.063,135.896,170.882,168.433,143.990,141.471,142.234,140.396,140.969,
164.510,164.009,142.710,141.063,135.896,177.593,169.789,143.948,140.868,141.734,138.197,140.297,
164.510,164.009,142.710,141.063,135.896,167.932,171.726,144.456,141.326,140.949,139.895,141.078,
164.510,164.009,142.710,141.063,135.896,171.568,168.779,147.281,143.375,141.433,140.359,140.213,
164.510,164.009,142.710,141.063,135.896,167.680,167.924,145.303,141.957,141.798,140.112,138.119,
164.510,164.009,142.710,141.063,135.896,172.726,166.584,145.601,141.074,140.792,138.193,140.864,
164.510,164.009,142.710,141.063,135.896,182.323,169.201,146.231,144.681,142.987,139.611,140.086,
164.510,164.009,142.710,141.063,135.896,169.360,171.834,144.152,142.292,142.072,138.983,140.906,
164.510,164.009,142.710,141.063,135.896,166.889,169.216,144.623,143.674,139.388,138.036,139.464,
164.510,164.009,142.710,141.063,135.896,169.704,166.448,144.790,140.813,143.239,138.826,138.531,
164.510,164.009,142.710,141.063,135.896,177.639,170.552,144.803,141.897,140.391,140.749,140.034,
164.510,164.009,142.710,141.063,135.896,169.024,169.787,145.449,142.152,140.962,140.687,143.510,
164.510,164.009,142.710,141.063,135.896,178.638,168.279,146.448,142.338,141.042,141.747,140.452,
164.510,164.009,142.710,141.063,135.896,169.410,164.842,145.509,141.127,140.045,141.034,139.034,
164.510,164.009,142.710,141.063,135.896,173.612,168.704,145.640,140.913,141.447,137.856,140.498,
164.510,164.009,142.710,141.063,135.896,169.314,168.615,148.218,141.163,141.501,138.591,140.681,
164.510,164.009,142.710,141.063,135.896,174.641,166.180,146.553,143.824,140.289,137.053,140.355,
164.510,164.009,142.710,141.063,135.896,168.507,168.518,146.080,140.848,142.642,143.544,139.145,
164.510,164.009,142.710,141.063,135.896,168.073,167.198,144.760,139.665,140.947,146.673,141.176,
164.510,164.009,142.710,141.063,135.896,175.494,170.942,144.770,141.830,140.959,138.792,139.110,
164.510,164.009,142.710,141.063,135.896,171.718,169.162,145.679,140.462,141.914,137.629,137.946,
164.510,164.009,142.710,141.063,135.896,167.988,166.693,146.904,140.366,142.208,137.430,141.890,
164.510,164.009,142.710,141.063,135.896,174.180,166.267,144.896,143.651,141.555,137.447,140.168,
164.510,164.009,142.710,141.063,135.896,169.975,168.216,146.034,142.059,140.845,140.551,139.330,
