LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.743,0.741,0.644,0.637,0.614,0.764,0.753,0.653,0.645,0.640,0.634,0.631,
0.743,0.741,0.644,0.637,0.614,0.771,0.751,0.657,0.652,0.633,0.625,0.645,
0.743,0.741,0.644,0.637,0.614,0.775,0.773,0.656,0.640,0.633,0.626,0.618,
0.743,0.741,0.644,0.637,0.614,0.772,0.758,0.661,0.636,0.647,0.630,0.631,
0.743,0.741,0.644,0.637,0.614,0.765,0.763,0.652,0.650,0.636,0.618,0.632,
0.743,0.741,0.644,0.637,0.614,0.761,0.763,0.649,0.639,0.636,0.623,0.634,
0.743,0.741,0.644,0.637,0.614,0.772,0.760,0.650,0.639,0.642,0.634,0.636,
0.743,0.741,0.644,0.637,0.614,0.802,0.767,0.650,0.636,0.640,0.624,0.633,
0.743,0.741,0.644,0.637,0.614,0.758,0.775,0.652,0.638,0.636,0.632,0.637,
0.743,0.741,0.644,0.637,0.614,0.775,0.762,0.665,0.647,0.639,0.634,0.633,
0.743,0.741,0.644,0.637,0.614,0.757,0.758,0.656,0.641,0.640,0.633,0.624,
0.743,0.741,0.644,0.637,0.614,0.780,0.752,0.657,0.637,0.636,0.624,0.636,
0.743,0.741,0.644,0.637,0.614,0.823,0.764,0.660,0.653,0.646,0.630,0.632,
0.743,0.741,0.644,0.637,0.614,0.765,0.776,0.651,0.642,0.641,0.628,0.636,
0.743,0.741,0.644,0.637,0.614,0.754,0.764,0.653,0.649,0.629,0.623,0.630,
0.743,0.741,0.644,0.637,0.614,0.766,0.752,0.654,0.636,0.647,0.627,0.625,
0.743,0.741,0.644,0.637,0.614,0.802,0.770,0.654,0.641,0.634,0.635,0.632,
0.743,0.741,0.644,0.637,0.614,0.763,0.767,0.657,0.642,0.636,0.635,0.648,
0.743,0.741,0.644,0.637,0.614,0.807,0.760,0.661,0.643,0.637,0.640,0.634,
0.743,0.741,0.644,0.637,0.614,0.765,0.744,0.657,0.637,0.632,0.637,0.628,
0.743,0.741,0.644,0.637,0.614,0.784,0.762,0.658,0.636,0.639,0.622,0.634,
0.743,0.741,0.644,0.637,0.614,0.764,0.761,0.669,0.637,0.639,0.626,0.635,
0.743,0.741,0.644,0.637,0.614,0.789,0.750,0.662,0.649,0.633,0.619,0.634,
0.743,0.741,0.644,0.637,0.614,0.761,0.761,0.660,0.636,0.644,0.648,0.628,
0.743,0.741,0.644,0.637,0.614,0.759,0.755,0.654,0.631,0.636,0.662,0.637,
0.743,0.741,0.644,0.637,0.614,0.792,0.772,0.654,0.640,0.636,0.627,0.628,
0.743,0.741,0.644,0.637,0.614,0.775,0.764,0.658,0.634,0.641,0.621,0.623,
0.743,0.741,0.644,0.637,0.614,0.758,0.753,0.663,0.634,0.642,0.620,0.641,
0.743,0.741,0.644,0.637,0.614,0.786,0.751,0.654,0.649,0.639,0.621,0.633,
0.743,0.741,0.644,0.637,0.614,0.767,0.759,0.659,0.641,0.636,0.635,0.629,
