date,min_temp,max_temp,wind_speed,wind_gust,visibility,pressure,precipitation,snow_depth,fog,rain_drizzle,snow_ice,thunder
2009-01-01,15.1,26.1,11.6,32.1,10.0,1015.5,0.04,999.9,0,0,0,0
2009-01-02,21.9,33.1,5.6,19.0,9.3,1011.0,0.0,999.9,0,0,1,0
2009-01-03,30.0,37.9,7.7,20.0,10.0,1007.6,0.0,999.9,0,0,0,0
2009-01-04,25.0,42.1,7.3,17.1,10.0,1013.1,0.0,999.9,0,0,0,0
2009-01-05,37.9,43.0,6.3,14.0,10.0,1009.3,0.0,999.9,0,0,0,0
2009-01-06,32.0,42.1,5.2,15.9,10.0,1011.5,0.0,999.9,0,0,0,0
2009-01-07,30.2,37.4,9.5,24.1,5.3,994.3,0.52,999.9,0,1,1,0
2009-01-08,32.0,37.9,9.0,25.1,9.6,988.7,0.75,999.9,0,1,0,0
2009-01-09,26.1,32.0,9.0,22.9,10.0,1007.2,0.0,999.9,0,0,0,0
2009-01-10,23.0,30.0,4.9,15.0,7.8,1018.8,0.0,999.9,1,0,1,0
2009-01-11,24.8,30.9,7.8,21.0,7.6,1007.1,0.29,999.9,0,1,1,0
2009-01-12,21.0,33.1,5.5,15.0,10.0,1014.4,0.04,1.2,0,0,0,0
2009-01-13,28.0,41.0,4.2,19.0,10.0,1015.5,0.0,1.2,0,0,0,0
2009-01-14,16.0,39.9,7.4,22.9,10.0,1009.7,0.0,999.9,0,0,0,0
2009-01-15,16.0,21.9,6.5,15.9,7.6,1016.7,0.01,999.9,0,0,1,0
2009-01-16,10.0,17.1,7.5,19.0,10.0,1026.0,0.04,1.2,0,0,0,0
2009-01-17,6.1,19.0,5.6,17.1,10.0,1028.1,0.0,999.9,0,0,0,0
2009-01-18,18.0,35.1,4.8,22.0,8.1,1012.8,99.99,999.9,1,0,1,0
2009-01-19,26.1,33.1,2.4,999.9,4.3,1000.4,0.18,999.9,1,0,1,0
2009-01-20,19.9,30.2,4.4,15.0,9.0,999.5,0.18,3.1,0,0,1,0
2009-01-21,17.1,26.1,7.3,15.0,10.0,1006.0,0.0,3.9,0,0,0,0
2009-01-22,19.9,37.0,6.1,20.0,10.0,1010.0,0.0,3.1,0,0,0,0
2009-01-23,30.9,46.9,3.9,14.0,9.8,1010.0,0.0,3.1,0,0,0,0
