date,hour,minute,pickups
2009-01-01,0,0,24
2009-01-01,0,1,35
2009-01-01,1,0,25
2009-01-01,1,1,25
2009-01-01,2,0,16
2009-01-01,2,1,12
2009-01-01,3,0,6
2009-01-01,3,1,9
2009-01-01,4,0,8
2009-01-01,4,1,5
2009-01-01,5,0,2
2009-01-01,5,1,1
2009-01-01,6,0,3
2009-01-01,6,1,3
2009-01-01,7,0,3
2009-01-01,7,1,2
2009-01-01,8,0,5
2009-01-01,8,1,3
2009-01-01,9,0,5
2009-01-01,9,1,1
2009-01-01,10,0,6
2009-01-01,10,1,8
2009-01-01,11,0,9
2009-01-01,11,1,14
2009-01-01,12,0,11
2009-01-01,12,1,22
2009-01-01,13,0,21
2009-01-01,13,1,14
2009-01-01,14,0,20
2009-01-01,14,1,16
2009-01-01,15,0,12
2009-01-01,15,1,14
2009-01-01,16,0,18
2009-01-01,16,1,10
2009-01-01,17,0,17
2009-01-01,17,1,14
2009-01-01,18,0,10
2009-01-01,18,1,16
2009-01-01,19,0,20
2009-01-01,19,1,13
2009-01-01,20,0,11
2009-01-01,20,1,8
2009-01-01,21,0,12
2009-01-01,21,1,12
2009-01-01,22,0,17
2009-01-01,22,1,7
2009-01-01,23,0,7
2009-01-01,23,1,8
2009-01-02,0,0,7
2009-01-02,0,1,8
2009-01-02,1,0,1
2009-01-02,1,1,4
2009-01-02,2,1,3
2009-01-02,3,0,1
2009-01-02,3,1,3
2009-01-02,4,0,2
2009-01-02,4,1,1
2009-01-02,5,0,3
2009-01-02,5,1,4
2009-01-02,6,0,4
2009-01-02,6,1,5
2009-01-02,7,0,13
2009-01-02,7,1,25
2009-01-02,8,0,25
2009-01-02,8,1,25
2009-01-02,9,0,29
2009-01-02,9,1,26
2009-01-02,10,0,27
2009-01-02,10,1,21
2009-01-02,11,0,27
2009-01-02,11,1,26
2009-01-02,12,0,23
2009-01-02,12,1,25
2009-01-02,13,0,19
2009-01-02,13,1,23
2009-01-02,14,0,14
2009-01-02,14,1,21
2009-01-02,15,0,18
2009-01-02,15,1,23
2009-01-02,16,0,20
2009-01-02,16,1,23
2009-01-02,17,0,20
2009-01-02,17,1,16
2009-01-02,18,0,21
2009-01-02,18,1,27
2009-01-02,19,0,25
2009-01-02,19,1,25
2009-01-02,20,0,21
2009-01-02,20,1,18
2009-01-02,21,0,12
2009-01-02,21,1,20
2009-01-02,22,0,13
2009-01-02,22,1,12
2009-01-02,23,0,16
2009-01-02,23,1,16
2009-01-03,0,0,10
2009-01-03,0,1,13
2009-01-03,1,0,7
2009-01-03,1,1,7
2009-01-03,2,0,1
2009-01-03,2,1,9
2009-01-03,3,0,8
2009-01-03,3,1,8
2009-01-03,4,0,6
2009-01-03,4,1,3
2009-01-03,5,0,4
2009-01-03,5,1,5
2009-01-03,6,0,2
2009-01-03,6,1,6
2009-01-03,7,0,9
2009-01-03,7,1,7
2009-01-03,8,0,14
2009-01-03,8,1,15
2009-01-03,9,0,15
2009-01-03,9,1,11
2009-01-03,10,0,15
2009-01-03,10,1,29
2009-01-03,11,0,27
2009-01-03,11,1,21
2009-01-03,12,0,19
2009-01-03,12,1,35
2009-01-03,13,0,23
2009-01-03,13,1,22
2009-01-03,14,0,19
2009-01-03,14,1,19
2009-01-03,15,0,18
2009-01-03,15,1,16
2009-01-03,16,0,23
2009-01-03,16,1,22
2009-01-03,17,0,15
2009-01-03,17,1,19
2009-01-03,18,0,19
2009-01-03,18,1,22
2009-01-03,19,0,20
2009-01-03,19,1,31
2009-01-03,20,0,29
2009-01-03,20,1,20
2009-01-03,21,0,18
2009-01-03,21,1,16
2009-01-03,22,0,18
2009-01-03,22,1,8
2009-01-03,23,0,15
2009-01-03,23,1,12
2009-01-04,0,0,11
2009-01-04,0,1,16
2009-01-04,1,0,7
2009-01-04,1,1,6
2009-01-04,2,0,10
2009-01-04,2,1,6
2009-01-04,3,0,9
2009-01-04,3,1,11
2009-01-04,4,0,9
2009-01-04,4,1,3
2009-01-04,5,0,2
2009-01-04,5,1,3
2009-01-04,6,0,1
2009-01-04,6,1,5
2009-01-04,7,0,3
2009-01-04,7,1,6
2009-01-04,8,0,4
2009-01-04,8,1,11
2009-01-04,9,0,6
2009-01-04,9,1,16
2009-01-04,10,0,10
2009-01-04,10,1,14
2009-01-04,11,0,15
2009-01-04,11,1,17
2009-01-04,12,0,17
2009-01-04,12,1,29
2009-01-04,13,0,20
2009-01-04,13,1,21
2009-01-04,14,0,24
2009-01-04,14,1,22
2009-01-04,15,0,23
2009-01-04,15,1,20
2009-01-04,16,0,28
2009-01-04,16,1,24
2009-01-04,17,0,20
2009-01-04,17,1,19
2009-01-04,18,0,16
2009-01-04,18,1,29
2009-01-04,19,0,24
2009-01-04,19,1,19
2009-01-04,20,0,17
2009-01-04,20,1,14
2009-01-04,21,0,11
2009-01-04,21,1,7
2009-01-04,22,0,12
2009-01-04,22,1,8
2009-01-04,23,0,11
2009-01-04,23,1,4
2009-01-05,0,0,6
2009-01-05,0,1,6
2009-01-05,1,0,6
2009-01-05,1,1,3
2009-01-05,2,0,1
2009-01-05,2,1,1
2009-01-05,3,1,2
2009-01-05,4,0,1
2009-01-05,4,1,1
2009-01-05,5,0,5
2009-01-05,5,1,6
2009-01-05,6,0,11
2009-01-05,6,1,34
2009-01-05,7,0,32
2009-01-05,7,1,56
2009-01-05,8,0,73
2009-01-05,8,1,68
2009-01-05,9,0,56
2009-01-05,9,1,44
2009-01-05,10,0,34
2009-01-05,10,1,28
2009-01-05,11,0,32
2009-01-05,11,1,24
2009-01-05,12,0,25
2009-01-05,12,1,34
2009-01-05,13,0,18
2009-01-05,13,1,21
2009-01-05,14,0,27
2009-01-05,14,1,21
2009-01-05,15,0,23
2009-01-05,15,1,26
2009-01-05,16,0,19
2009-01-05,16,1,28
2009-01-05,17,0,35
2009-01-05,17,1,33
2009-01-05,18,0,47
2009-01-05,18,1,44
2009-01-05,19,0,49
2009-01-05,19,1,42
2009-01-05,20,0,21
2009-01-05,20,1,22
2009-01-05,21,0,11
2009-01-05,21,1,18
2009-01-05,22,0,9
2009-01-05,22,1,7
2009-01-05,23,0,6
2009-01-05,23,1,11
2009-01-06,0,1,6
2009-01-06,1,0,5
2009-01-06,1,1,7
2009-01-06,2,0,6
2009-01-06,2,1,2
2009-01-06,3,0,4
2009-01-06,3,1,3
2009-01-06,4,0,3
2009-01-06,5,0,2
2009-01-06,5,1,2
2009-01-06,6,0,11
2009-01-06,6,1,19
2009-01-06,7,0,38
2009-01-06,7,1,65
2009-01-06,8,0,69
2009-01-06,8,1,60
2009-01-06,9,0,51
2009-01-06,9,1,55
2009-01-06,10,0,51
2009-01-06,10,1,59
2009-01-06,11,0,36
2009-01-06,11,1,24
2009-01-06,12,0,33
2009-01-06,12,1,27
2009-01-06,13,0,20
2009-01-06,13,1,26
2009-01-06,14,0,17
2009-01-06,14,1,31
2009-01-06,15,0,32
2009-01-06,15,1,36
2009-01-06,16,0,27
2009-01-06,16,1,34
