	date	start_time	title	url	description
0	2014-03-15	2014-03-15 20:00:00	Carnage at Terminal 5	593163697436226	carnage carnage tbp im who carnage sat march where ave
1	2014-11-11	2014-11-11 20:00:00	London Grammar at Terminal 5	1465453707047232	london grammar london grammar bit ly who london grammar tue november where st ave
2	2014-10-17	2014-10-17 19:00:00	Citizen Cope at Terminal 5 on 10/17	265560376982598	citizen cope clarence greenwood recording 10th anniversary tour citizen cope this is bit ly who citizen cope fri october where st ave
3	2015-11-19	2015-11-19 19:00:00	Azealia Banks	1526707847627630	azealia bank azealia bank
4	2013-10-22	2013-10-22 19:00:00	Cold War Kids at Terminal 5	641278195885283	cold war kid cold war kid cold war kid are coming back to big apple for night full melody memorable old tune tbp im 12dbfvl tbp im tbp im 12dbfvl who cold war kid tuesday october 22nd 7pm 8pm where st ave
5	2017-04-26	2017-04-26 20:00:00	The New Pornographers at Terminal 5	1177476625700732	new presale begin wednesday january 18th 10am et general sale begin friday january 20th 10am local time
6	2012-08-08	2012-08-08 19:00:00	Bloc Party @ Terminal 5	713137065474899	bloc party bloc party drum live for visit wwwterminal5nyccom
7	2016-01-18	2016-01-18 19:00:00	A$AP Rocky	1753848044843089	ap rocky ap rocky
8	2015-04-04	2015-04-04 19:30:00	Chet Faker at Terminal 5 on 4/4 (SOLD OUT)	926616577362449	chet faker sold out chet faker xxyyxx bit ly who chet faker xxyyxx sat april where st new york ny
9	2012-11-02	2012-11-02 20:00:00	Grouplove at Terminal 5	844921065555801	grouplove grouplove
10	2011-10-22	2011-10-22 20:00:00	Hard Haunted Mansion NYC	974198679266116	hard haunted mansion nyc hard haunted mansion nyc featuring gesaffelstein dillon francis saturday october hot sold out early bird sold out limited advance sold out advance day for visit wwwterminal5nyccom
11	2015-01-03	2015-01-03 20:00:00	Gogol Bordello at Terminal 5 on 1/3	304525936400318	gogol bordello gogol bordello ana tijoux man man bit ly 1s0tzz0 who gogol bordello sat january where st new york ny
12	2016-05-24	2016-05-24 19:00:00	Cultura Profetica 20th Anniversary Concert	1587019351616865	cultura profetica 20th anniversary concert cultura profetica 20th anniversary concert
13	2012-10-12	2012-10-12 20:00:00	Morrissey at Terminal 5 (2 SHOWS)	944557882261434	morrissey morrissey
14	2014-02-15	2014-02-15 19:00:00	Galactic / JJ Grey & Mofro at Terminal 5	277138682410628	galactic jj grey mofro galactic jj grey mofro tbp im tbp im who galactic jj grey mofro sat february where st to make member galactic funk they in party their annual gras that go lead into gras day it beyond party record it record that electric atmosphere whole city make that whole city together same day from new orleans down to jj grey to tell his story through original song informed by old rhythm blue root rock roll ha jj grey mofro from florida to hundred concert stage canada with by his classic soul grey personal song are in rhythm his native home outside florida
15	2017-03-09	2017-03-09 19:00:00	The Flaming Lips	1666515013660625	flaming lip flaming lip thu march sale fri oct 12pm et
16	2016-10-16	2016-10-16 20:00:00	Chvrches	606839832831538	chvrches chvrches
17	2012-11-15	2012-11-15 20:00:00	Matt & Kim at Terminal 5	833634860043870	matt kim matt kim
18	2017-05-31	2017-05-31 20:00:00	Russ: The Wake Up Tour	504818956574435	rus wake up tour rus wed may every purchased online for wake up tour come with your physical or digital copy rus debut album which is coming than you may think
19	2014-09-19	2014-09-19 20:00:00	Stromae at Terminal 5 on 9/19	1409888635956448	stromae stromae tbp im who stromae fri september where ave
20	2013-01-23	2013-01-23 19:00:00	Stone Sour &amp; Papa Roach at Terminal 5	920996767921999	stone sour papa roach ticketf ly stone sour papa roach with support from sale now
21	2014-07-26	2014-07-26 22:00:00	Grits & Biscuits	555233044599949	grit biscuit grit biscuit bit ly who grit biscuit sat july where st ave
22	2016-10-25	2016-10-25 19:00:00	Local Natives	1593506447646121	local native with charlotte day wilson charity local native believe in equality safety dignity people they have partnered with plus so that from every is going to support genderbased violence intervention prevention program
23	2013-06-22	2013-06-22 04:30:00	Rancid at Terminal 5	604368976258076	rancid ticketf ly rancid with transplant special guest sale saturday april 10am advance day
24	2013-03-24	2013-03-24 20:00:00	Alt-J at Terminal 5	650384071760911	altj ticketf ly altj go sale wednesday dec noon
25	2014-09-22	2014-09-22 19:00:00	Paolo Nutini at Terminal 5	762711810461580	paolo nutini paolo nutini bit ly bit ly who paolo nutini mon september where st ave
26	2017-10-10	2017-10-10 20:00:00	PVRIS	885793014893449	pvris pvris light flint tuesday october 00pm sale 10am
27	2014-09-13	2014-09-13 20:00:00	Savoy at Terminal 5	697589350308571	savoy savoy bright light bit ly bit ly who savoy bright light sat september where st ave
28	2013-11-06	2013-11-06 19:00:00	James Blake at Terminal 5	130266097174276	james blake james blake last time james blake landed in nyc he turned into chapel complete with angelic voice soulshaking subbass come join u for revival buy tbp im 11gvwry who james blake wednesday november 6th 7pm 8pm where st ave tbp im 13ma3q6 tbp im 11gvwry
29	2012-12-01	2012-12-01 20:00:00	"Dinosaur Jr's 25th anniversary of ""You're Living All Over Me"" ..."	1061058433921549	dinosaur jr 25th anniversary you re living over me dinosaur jr 25th anniversary you re living over me with very special friend in special guest kurt vile
30	2015-04-14	2015-04-14 19:00:00	Walk the Moon at Terminal 5 on 4/14 (SOLD OUT)	1529013670712715	walk moon sold out walk moon sold out bit ly who walk moon griswolds tue april where st new york ny
31	2013-10-10	2013-10-10 19:00:00	The Naked and Famous at Terminal 5	586161564762079	naked famous naked famous they sold out last year theyll do it your tbp im 14lh3bi dont miss this night pop rock from naked famous this is tbp im tbp im 14lh3bi who naked famous thursday october 10th 7pm 8pm where st 11th avenue
32	2016-05-05	2016-05-05 19:00:00	Frightened Rabbit	1562141420770374	frightened rabbit frightened rabbit
33	2012-05-10	2012-05-10 19:00:00	M83 @ Terminal 5	895885653801416	m83 m83 break live thursday may 10th sale fri noon advance day for visit wwwterminal5nyccom
34	2014-11-29	2014-11-29 20:00:00	The New Deal at Terminal 5	768573333213650	new deal new deal bit ly who new deal sat nov where st ave
35	2015-12-11	2015-12-11 20:00:00	Thievery Corporation	1191024220913108	thievery corporation thievery corporation
36	2012-08-11	2012-08-11 20:00:00	Infected Mushroom @ Terminal 5	396489543721079	infected mushroom infected mushroom live saturday august 11th sale june for about wwwterminal5nyccom
37	2012-05-09	2012-05-09 20:00:00	The Avett Brothers at Terminal 5	758919990889911	avett brother avett brother
38	2014-05-07	2014-05-07 19:00:00	Foals / Cage the Elephant at Terminal 5 on 5/07	458967894203828	foal cage elephant foal cage elephant roddy walston business tbp im tbp im who foal cage elephant tue may where ave
39	2016-11-26	2016-11-26 20:00:00	Jon Bellion The Human Condition Tour Part II - Second Show Added!	1116804725046147	jon bellion human condition tour part ii second added jon bellion human condition tour part ii
40	2012-04-22	2012-04-22 19:00:00	Refused (2 shows) @ Terminal 5	799135660171102	refused 2nd added due to overwhelming demand in with refused live sunday april 22nd monday april 23rd sale wednesday noon for april 22nd visit wwwterminal5nyccom for april 23rd wwwterminal5nyccom
41	2017-02-25	2017-02-25 19:00:00	Run The Jewels: Run The World Tour	329310827437165	run jewel run world tour sold out run jewel with very special guest gaslamp killer nick hook gangsta boo cuz saturday february 25th west street new york ny wwwrunthejewelscomwwwrunthejewelscomtwitter runjewels
42	2012-11-09	2012-11-09 21:00:00	HARD NYC ft. Wolfgang Gartner at Terminal 5	557529304384900	hard nyc ft wolfgang gartner ticketf ly hard nyc ft wolfgang gartner
43	2017-02-23	2017-02-23 19:00:00	Japandroids	1332912333450899	japandroids japandroids craig finn uptown controller thu february new york ny this is
44	2013-10-15	2013-10-15 19:00:00	Placebo at Terminal 5	1378801342355330	placebo placebo tbp im tbp im who placebo tuesday october 15th 7pm 8pm where st ave
45	2017-11-03	2017-11-03 20:00:00	Krewella New World Tour at Terminal 5 - New York City (18+)	109044359655291	krewella new world tour new york city vip meet greet package available com krewella new world tour friday november with support from hailing from chicago electronic sister duo krewella will be coming to new york city bringing their signature blend heavy dance beat raw vocal performance this will be their first north american tour since punkinspired sweatbox tour last year in stark juxtaposition they will be moving from underground dive bar to main stage debuting brand new stage production tour follows release their latest ep new world pt it no secret that jahan yasmine are controversial figure from their root sexfilled party music that would make any parent head shake to tumultuous breakup with former member to beef with dance music biggest troll one thing that remains indisputably true is that yousaf sister continue to break boundary in edm boy club why because they always bring rock to rave for additional date full new world tour visit wwwkrewellacom
46	2015-03-25	2015-03-25 19:00:00	Action Bronson at Terminal 5 on 3/25	634489393344777	action bronson action bronson bit ly who action bronson wed march where st new york ny
47	2012-10-18	2012-10-18 20:00:00	The Walkmen at Terminal 5	835193336527986	walkman ticketf ly walkman featuring daughter
48	2012-05-13	2012-05-13 19:00:00	Rusko @ Terminal 5	819568454747487	rusko rusko alex english live sunday may 13th this is sale fri noon for visit wwwterminal5nyccom
49	2016-11-20	2016-11-20 19:00:00	Jim James	1829547030613028	jim james jim james twin sun november this is per will be to morning project by sale to public friday 12pm et
50	2016-02-20	2016-02-20 17:30:00	Far East Movement	1071434542887074	far east movement far east movement
51	2014-10-22	2014-10-22 19:00:00	Bombay Bicycle Club at Terminal 5	244412129100304	bombay bicycle club bombay bicycle club greene bit ly bit ly who bombay bicycle club wed october where st ave
52	2011-11-26	2011-11-26 19:00:00	An Evening With moe. @ Terminal 5	927735257276592	an evening with moe moe come back for 2nd night saturday november 26th sale now advance day for visit wwwterminal5nyccom for november 25th with moe ivan neville dumpstaphunk wwwterminal5nyccomwwwterminal5nyccom
53	2012-10-05	2012-10-05 21:00:00	The Afghan Whigs with very special guest Eagles of Death Metal at Termin...	827376887340287	afghan whig with very special guest eagle death metal ticketf ly afghan whig with very special guest eagle death metal
54	2017-08-10	2017-08-10 19:00:00	Residente	240213169820477	residente residente thu august new york ny early bird advance this is
55	2015-01-09	2015-01-09 19:00:00	Future Islands at Terminal 5 on 1/9 (SOLD OUT)	1503816083205018	future island sold out future island operator wing dam bit ly who future island fri january where st new york ny
56	2015-12-29	2015-12-29 19:30:00	Clutch - Psychic Warfare World Tour	689955307808098	clutch psychic warfare world tour clutch psychic warfare world tour
57	2017-10-21	2017-10-21 19:00:00	Gryffin w/ Autograf (DJ Set) + More TBA	1426637340762659	gryffin autograf dj set tba gryffin autograf dj set tba saturday october 00pm sale thursday july 12pm
