LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
198.063,195.836,189.192,190.856,182.309,181.662,182.442,170.168,172.307,172.222,157.092,152.529,
198.063,195.836,189.192,190.856,182.309,183.793,181.953,171.914,176.350,166.302,151.309,154.773,
198.063,195.836,189.192,190.856,182.309,184.708,180.089,173.889,174.028,168.534,148.102,151.184,
198.063,195.836,189.192,190.856,182.309,182.980,176.431,173.774,175.082,165.263,154.459,149.033,
198.063,195.836,189.192,190.856,182.309,178.761,177.177,176.254,172.043,166.700,156.529,153.262,
198.063,195.836,189.192,190.856,182.309,183.469,180.725,169.832,167.111,163.108,152.885,154.464,
198.063,195.836,189.192,190.856,182.309,182.236,185.980,177.332,174.551,165.124,158.095,150.408,
198.063,195.836,189.192,190.856,182.309,181.347,182.866,168.884,168.725,167.956,158.020,153.044,
198.063,195.836,189.192,190.856,182.309,183.108,178.736,171.171,172.813,159.087,158.179,152.243,
198.063,195.836,189.192,190.856,182.309,179.390,183.590,176.454,176.302,171.719,155.011,151.792,
198.063,195.836,189.192,190.856,182.309,185.085,181.445,170.568,173.189,167.019,155.634,157.661,
198.063,195.836,189.192,190.856,182.309,182.899,178.102,169.882,176.334,171.110,157.076,154.767,
198.063,195.836,189.192,190.856,182.309,180.901,178.829,171.689,170.976,168.777,163.035,155.539,
198.063,195.836,189.192,190.856,182.309,185.360,184.328,166.925,174.380,166.719,155.765,152.095,
198.063,195.836,189.192,190.856,182.309,183.104,179.753,174.277,174.317,168.965,153.413,150.408,
198.063,195.836,189.192,190.856,182.309,182.684,181.075,171.646,176.261,170.288,151.941,153.127,
198.063,195.836,189.192,190.856,182.309,177.123,179.320,173.365,174.143,172.526,158.253,155.072,
198.063,195.836,189.192,190.856,182.309,177.771,181.238,168.676,173.181,172.140,153.887,148.258,
198.063,195.836,189.192,190.856,182.309,179.239,179.927,175.001,173.670,167.374,162.237,151.813,
198.063,195.836,189.192,190.856,182.309,177.454,179.740,172.087,173.943,170.920,156.588,151.667,
198.063,195.836,189.192,190.856,182.309,182.166,182.296,175.442,177.634,169.302,154.508,153.497,
198.063,195.836,189.192,190.856,182.309,179.805,184.417,166.495,175.315,166.412,161.422,148.462,
198.063,195.836,189.192,190.856,182.309,176.744,179.715,174.222,165.817,166.965,151.340,157.509,
198.063,195.836,189.192,190.856,182.309,182.817,181.777,169.182,172.932,164.608,158.844,153.427,
198.063,195.836,189.192,190.856,182.309,183.752,182.533,171.928,171.382,164.203,156.499,149.538,
198.063,195.836,189.192,190.856,182.309,182.546,182.807,172.255,167.748,167.191,154.716,152.252,
198.063,195.836,189.192,190.856,182.309,181.139,182.421,174.109,177.087,161.122,151.932,151.579,
198.063,195.836,189.192,190.856,182.309,189.398,183.891,176.924,175.448,166.843,154.093,151.632,
198.063,195.836,189.192,190.856,182.309,181.007,178.818,173.943,173.348,168.270,155.166,157.218,
198.063,195.836,189.192,190.856,182.309,180.491,177.725,169.638,172.732,165.893,152.740,151.187,
