LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
21.835,21.605,20.837,20.886,19.874,19.734,19.870,18.561,18.668,18.645,16.613,15.970,
21.835,21.605,20.837,20.886,19.874,20.023,19.784,18.691,19.129,17.924,15.926,16.306,
21.835,21.605,20.837,20.886,19.874,20.082,19.536,19.004,18.825,18.196,15.480,15.909,
21.835,21.605,20.837,20.886,19.874,19.889,19.048,18.982,18.980,17.786,16.320,15.534,
21.835,21.605,20.837,20.886,19.874,19.364,19.146,19.288,18.576,17.901,16.576,16.081,
21.835,21.605,20.837,20.886,19.874,19.958,19.626,18.445,17.969,17.500,16.140,16.331,
21.835,21.605,20.837,20.886,19.874,19.763,20.316,19.422,18.890,17.733,16.839,15.740,
21.835,21.605,20.837,20.886,19.874,19.630,19.905,18.346,18.117,18.145,16.809,16.177,
21.835,21.605,20.837,20.886,19.874,19.933,19.310,18.666,18.728,16.825,16.812,16.089,
21.835,21.605,20.837,20.886,19.874,19.402,20.008,19.278,19.093,18.579,16.358,16.004,
21.835,21.605,20.837,20.886,19.874,20.156,19.720,18.575,18.764,18.095,16.541,16.691,
21.835,21.605,20.837,20.886,19.874,19.893,19.228,18.499,19.023,18.526,16.663,16.467,
21.835,21.605,20.837,20.886,19.874,19.577,19.323,18.670,18.460,18.178,17.447,16.421,
21.835,21.605,20.837,20.886,19.874,20.229,20.095,18.128,18.865,17.953,16.501,16.041,
21.835,21.605,20.837,20.886,19.874,19.853,19.453,19.060,18.905,18.165,16.087,15.804,
21.835,21.605,20.837,20.886,19.874,19.848,19.682,18.734,19.133,18.390,15.898,16.092,
21.835,21.605,20.837,20.886,19.874,19.058,19.407,18.931,18.899,18.691,16.883,16.446,
21.835,21.605,20.837,20.886,19.874,19.190,19.617,18.262,18.761,18.655,16.264,15.470,
21.835,21.605,20.837,20.886,19.874,19.398,19.551,19.116,18.811,18.033,17.286,16.051,
21.835,21.605,20.837,20.886,19.874,19.148,19.492,18.750,18.858,18.540,16.682,15.950,
21.835,21.605,20.837,20.886,19.874,19.791,19.823,19.221,19.214,18.258,16.368,16.186,
21.835,21.605,20.837,20.886,19.874,19.436,20.084,18.104,18.971,17.866,17.029,15.538,
21.835,21.605,20.837,20.886,19.874,19.030,19.489,19.020,17.860,17.948,15.716,16.384,
21.835,21.605,20.837,20.886,19.874,19.839,19.767,18.424,18.771,17.660,16.775,16.165,
21.835,21.605,20.837,20.886,19.874,19.995,19.829,18.687,18.535,17.698,16.559,15.652,
21.835,21.605,20.837,20.886,19.874,19.822,19.873,18.743,18.073,17.979,16.357,15.973,
21.835,21.605,20.837,20.886,19.874,19.652,19.820,19.017,19.216,17.071,15.998,16.001,
21.835,21.605,20.837,20.886,19.874,20.701,20.048,19.359,19.005,17.969,16.264,15.731,
21.835,21.605,20.837,20.886,19.874,19.640,19.374,18.977,18.758,18.179,16.333,16.771,
21.835,21.605,20.837,20.886,19.874,19.506,19.101,18.483,18.667,17.861,16.044,15.890,
