LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.389,0.394,0.426,0.412,0.435,0.443,0.442,0.488,0.471,0.464,0.522,0.518,
0.389,0.394,0.426,0.412,0.435,0.438,0.442,0.484,0.458,0.484,0.537,0.513,
0.389,0.394,0.426,0.412,0.435,0.437,0.447,0.476,0.467,0.478,0.542,0.524,
0.389,0.394,0.426,0.412,0.435,0.442,0.457,0.479,0.467,0.479,0.532,0.532,
0.389,0.394,0.426,0.412,0.435,0.452,0.457,0.472,0.470,0.481,0.526,0.525,
0.389,0.394,0.426,0.412,0.435,0.442,0.445,0.492,0.481,0.492,0.529,0.521,
0.389,0.394,0.426,0.412,0.435,0.446,0.433,0.470,0.467,0.485,0.525,0.529,
0.389,0.394,0.426,0.412,0.435,0.448,0.439,0.490,0.482,0.476,0.522,0.525,
0.389,0.394,0.426,0.412,0.435,0.440,0.452,0.486,0.470,0.500,0.522,0.528,
0.389,0.394,0.426,0.412,0.435,0.452,0.438,0.474,0.461,0.469,0.535,0.525,
0.389,0.394,0.426,0.412,0.435,0.434,0.442,0.488,0.467,0.478,0.521,0.503,
0.389,0.394,0.426,0.412,0.435,0.444,0.452,0.488,0.462,0.472,0.513,0.516,
0.389,0.394,0.426,0.412,0.435,0.450,0.451,0.486,0.473,0.479,0.500,0.518,
0.389,0.394,0.426,0.412,0.435,0.432,0.432,0.499,0.468,0.481,0.523,0.529,
0.389,0.394,0.426,0.412,0.435,0.445,0.447,0.480,0.464,0.475,0.533,0.529,
0.389,0.394,0.426,0.412,0.435,0.444,0.446,0.485,0.462,0.473,0.532,0.523,
0.389,0.394,0.426,0.412,0.435,0.458,0.450,0.480,0.462,0.463,0.510,0.518,
0.389,0.394,0.426,0.412,0.435,0.453,0.448,0.494,0.467,0.467,0.530,0.535,
0.389,0.394,0.426,0.412,0.435,0.453,0.443,0.478,0.464,0.481,0.507,0.526,
0.389,0.394,0.426,0.412,0.435,0.457,0.445,0.484,0.463,0.475,0.522,0.524,
0.389,0.394,0.426,0.412,0.435,0.445,0.442,0.476,0.456,0.474,0.525,0.520,
0.389,0.394,0.426,0.412,0.435,0.450,0.437,0.496,0.466,0.482,0.501,0.534,
0.389,0.394,0.426,0.412,0.435,0.461,0.448,0.481,0.488,0.483,0.533,0.480,
0.389,0.394,0.426,0.412,0.435,0.446,0.442,0.492,0.464,0.491,0.517,0.530,
0.389,0.394,0.426,0.412,0.435,0.437,0.442,0.486,0.472,0.489,0.527,0.530,
0.389,0.394,0.426,0.412,0.435,0.444,0.440,0.484,0.485,0.482,0.528,0.534,
0.389,0.394,0.426,0.412,0.435,0.446,0.444,0.480,0.451,0.499,0.531,0.533,
0.389,0.394,0.426,0.412,0.435,0.425,0.436,0.471,0.467,0.484,0.521,0.525,
0.389,0.394,0.426,0.412,0.435,0.450,0.454,0.482,0.466,0.482,0.521,0.517,
0.389,0.394,0.426,0.412,0.435,0.449,0.458,0.493,0.469,0.484,0.532,0.525,
