LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.839,0.829,0.801,0.808,0.772,0.769,0.773,0.721,0.730,0.729,0.665,0.646,
0.839,0.829,0.801,0.808,0.772,0.778,0.771,0.728,0.747,0.704,0.641,0.655,
0.839,0.829,0.801,0.808,0.772,0.782,0.763,0.736,0.737,0.714,0.627,0.640,
0.839,0.829,0.801,0.808,0.772,0.775,0.747,0.736,0.741,0.700,0.654,0.631,
0.839,0.829,0.801,0.808,0.772,0.757,0.750,0.746,0.729,0.706,0.663,0.649,
0.839,0.829,0.801,0.808,0.772,0.777,0.765,0.719,0.708,0.691,0.647,0.654,
0.839,0.829,0.801,0.808,0.772,0.772,0.788,0.751,0.739,0.699,0.669,0.637,
0.839,0.829,0.801,0.808,0.772,0.768,0.774,0.715,0.714,0.711,0.669,0.648,
0.839,0.829,0.801,0.808,0.772,0.775,0.757,0.725,0.732,0.674,0.670,0.645,
0.839,0.829,0.801,0.808,0.772,0.760,0.777,0.747,0.747,0.727,0.656,0.643,
0.839,0.829,0.801,0.808,0.772,0.784,0.768,0.722,0.733,0.707,0.659,0.668,
0.839,0.829,0.801,0.808,0.772,0.775,0.754,0.719,0.747,0.725,0.665,0.655,
0.839,0.829,0.801,0.808,0.772,0.766,0.757,0.727,0.724,0.715,0.690,0.659,
0.839,0.829,0.801,0.808,0.772,0.785,0.781,0.707,0.738,0.706,0.660,0.644,
0.839,0.829,0.801,0.808,0.772,0.775,0.761,0.738,0.738,0.716,0.650,0.637,
0.839,0.829,0.801,0.808,0.772,0.774,0.767,0.727,0.746,0.721,0.643,0.648,
0.839,0.829,0.801,0.808,0.772,0.750,0.759,0.734,0.737,0.731,0.670,0.657,
0.839,0.829,0.801,0.808,0.772,0.753,0.767,0.714,0.733,0.729,0.652,0.628,
0.839,0.829,0.801,0.808,0.772,0.759,0.762,0.741,0.735,0.709,0.687,0.643,
0.839,0.829,0.801,0.808,0.772,0.751,0.761,0.729,0.737,0.724,0.663,0.642,
0.839,0.829,0.801,0.808,0.772,0.771,0.772,0.743,0.752,0.717,0.654,0.650,
0.839,0.829,0.801,0.808,0.772,0.761,0.781,0.705,0.742,0.705,0.684,0.629,
0.839,0.829,0.801,0.808,0.772,0.748,0.761,0.738,0.702,0.707,0.641,0.667,
0.839,0.829,0.801,0.808,0.772,0.774,0.770,0.716,0.732,0.697,0.673,0.650,
0.839,0.829,0.801,0.808,0.772,0.778,0.773,0.728,0.726,0.695,0.663,0.633,
0.839,0.829,0.801,0.808,0.772,0.773,0.774,0.729,0.710,0.708,0.655,0.645,
0.839,0.829,0.801,0.808,0.772,0.767,0.772,0.737,0.750,0.682,0.643,0.642,
0.839,0.829,0.801,0.808,0.772,0.802,0.779,0.749,0.743,0.707,0.653,0.642,
0.839,0.829,0.801,0.808,0.772,0.767,0.757,0.737,0.734,0.713,0.657,0.666,
0.839,0.829,0.801,0.808,0.772,0.764,0.753,0.718,0.731,0.703,0.647,0.640,
