LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
262.625,261.562,254.560,257.803,252.645,250.920,251.151,240.444,244.401,245.953,232.321,233.203,
262.625,261.562,254.560,257.803,252.645,252.011,251.051,241.442,247.513,241.508,228.771,234.408,
262.625,261.562,254.560,257.803,252.645,252.081,249.893,243.193,245.358,242.713,227.366,231.912,
262.625,261.562,254.560,257.803,252.645,251.034,247.678,242.522,245.346,242.592,229.934,229.905,
262.625,261.562,254.560,257.803,252.645,248.671,247.695,244.088,244.546,242.090,231.357,231.707,
262.625,261.562,254.560,257.803,252.645,251.081,250.440,239.567,242.105,239.604,230.637,232.588,
262.625,261.562,254.560,257.803,252.645,250.082,253.159,244.625,245.392,241.246,231.690,230.518,
262.625,261.562,254.560,257.803,252.645,249.669,251.640,239.916,241.853,243.311,232.417,231.546,
262.625,261.562,254.560,257.803,252.645,251.537,248.851,241.005,244.670,237.625,232.323,230.942,
262.625,261.562,254.560,257.803,252.645,248.730,251.856,243.629,246.627,244.862,229.229,231.568,
262.625,261.562,254.560,257.803,252.645,252.934,251.141,240.535,245.309,242.833,232.514,236.850,
262.625,261.562,254.560,257.803,252.645,250.693,248.826,240.462,246.427,244.296,234.641,233.822,
262.625,261.562,254.560,257.803,252.645,249.279,249.032,240.839,243.944,242.580,237.522,233.231,
262.625,261.562,254.560,257.803,252.645,253.275,253.197,237.765,245.034,242.182,231.990,230.699,
262.625,261.562,254.560,257.803,252.645,250.251,249.821,242.302,245.970,243.618,229.745,230.601,
262.625,261.562,254.560,257.803,252.645,250.591,250.251,241.197,246.586,243.861,229.836,232.141,
262.625,261.562,254.560,257.803,252.645,247.367,249.166,242.393,246.428,246.265,235.270,233.433,
262.625,261.562,254.560,257.803,252.645,248.525,249.652,239.127,245.450,245.256,230.276,229.182,
262.625,261.562,254.560,257.803,252.645,248.634,250.717,242.801,246.130,242.045,236.020,231.416,
262.625,261.562,254.560,257.803,252.645,247.718,250.371,241.467,246.221,243.562,232.417,231.890,
262.625,261.562,254.560,257.803,252.645,250.305,251.127,243.244,247.932,243.755,231.530,232.874,
262.625,261.562,254.560,257.803,252.645,249.250,252.197,238.562,245.539,241.833,237.310,229.530,
262.625,261.562,254.560,257.803,252.645,246.672,249.694,242.223,240.529,241.693,229.546,242.305,
262.625,261.562,254.560,257.803,252.645,250.208,250.995,239.449,245.976,239.782,233.595,230.438,
262.625,261.562,254.560,257.803,252.645,252.150,251.000,240.876,244.170,240.351,231.204,230.427,
262.625,261.562,254.560,257.803,252.645,250.635,251.431,241.301,241.226,241.868,230.798,229.467,
262.625,261.562,254.560,257.803,252.645,250.149,250.680,242.455,249.079,237.802,230.213,229.598,
262.625,261.562,254.560,257.803,252.645,254.837,252.357,244.431,245.444,241.374,232.516,231.687,
262.625,261.562,254.560,257.803,252.645,249.244,248.340,241.889,245.547,241.901,232.679,233.463,
262.625,261.562,254.560,257.803,252.645,249.366,247.497,239.197,244.894,241.504,229.920,231.631,
