LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.781,0.778,0.757,0.767,0.752,0.747,0.747,0.715,0.727,0.732,0.691,0.694,
0.781,0.778,0.757,0.767,0.752,0.750,0.747,0.718,0.737,0.719,0.681,0.698,
0.781,0.778,0.757,0.767,0.752,0.750,0.744,0.724,0.730,0.722,0.677,0.690,
0.781,0.778,0.757,0.767,0.752,0.747,0.737,0.722,0.730,0.722,0.684,0.684,
0.781,0.778,0.757,0.767,0.752,0.740,0.737,0.726,0.728,0.720,0.688,0.689,
0.781,0.778,0.757,0.767,0.752,0.747,0.745,0.713,0.720,0.713,0.686,0.692,
0.781,0.778,0.757,0.767,0.752,0.744,0.753,0.728,0.730,0.718,0.689,0.686,
0.781,0.778,0.757,0.767,0.752,0.743,0.749,0.714,0.720,0.724,0.692,0.689,
0.781,0.778,0.757,0.767,0.752,0.748,0.740,0.717,0.728,0.707,0.691,0.687,
0.781,0.778,0.757,0.767,0.752,0.740,0.749,0.725,0.734,0.729,0.682,0.689,
0.781,0.778,0.757,0.767,0.752,0.753,0.747,0.716,0.730,0.723,0.692,0.705,
0.781,0.778,0.757,0.767,0.752,0.746,0.740,0.716,0.733,0.727,0.698,0.696,
0.781,0.778,0.757,0.767,0.752,0.742,0.741,0.717,0.726,0.722,0.707,0.694,
0.781,0.778,0.757,0.767,0.752,0.754,0.753,0.707,0.729,0.721,0.690,0.686,
0.781,0.778,0.757,0.767,0.752,0.745,0.743,0.721,0.732,0.725,0.684,0.686,
0.781,0.778,0.757,0.767,0.752,0.746,0.745,0.718,0.734,0.726,0.684,0.691,
0.781,0.778,0.757,0.767,0.752,0.736,0.741,0.721,0.733,0.733,0.700,0.695,
0.781,0.778,0.757,0.767,0.752,0.740,0.743,0.712,0.730,0.730,0.685,0.682,
0.781,0.778,0.757,0.767,0.752,0.740,0.746,0.722,0.732,0.720,0.702,0.689,
0.781,0.778,0.757,0.767,0.752,0.737,0.745,0.719,0.733,0.725,0.692,0.690,
0.781,0.778,0.757,0.767,0.752,0.745,0.747,0.724,0.738,0.725,0.689,0.693,
0.781,0.778,0.757,0.767,0.752,0.742,0.750,0.710,0.731,0.720,0.706,0.683,
0.781,0.778,0.757,0.767,0.752,0.734,0.743,0.721,0.716,0.719,0.683,0.721,
0.781,0.778,0.757,0.767,0.752,0.745,0.747,0.713,0.732,0.713,0.695,0.686,
0.781,0.778,0.757,0.767,0.752,0.750,0.747,0.717,0.727,0.715,0.688,0.686,
0.781,0.778,0.757,0.767,0.752,0.746,0.748,0.718,0.718,0.720,0.687,0.683,
0.781,0.778,0.757,0.767,0.752,0.744,0.746,0.721,0.741,0.708,0.685,0.683,
0.781,0.778,0.757,0.767,0.752,0.758,0.751,0.727,0.730,0.718,0.692,0.689,
0.781,0.778,0.757,0.767,0.752,0.742,0.739,0.720,0.731,0.720,0.692,0.695,
0.781,0.778,0.757,0.767,0.752,0.742,0.736,0.712,0.729,0.719,0.684,0.689,
