LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
198.063,195.836,189.192,190.856,182.309,168.336,174.783,181.451,445.469,513.993,158.751,419.035,
198.063,195.836,189.192,190.856,182.309,182.752,172.004,158.920,529.467,424.063,154.986,455.823,
198.063,195.836,189.192,190.856,182.309,172.552,165.637,158.479,425.084,491.472,166.965,455.698,
198.063,195.836,189.192,190.856,182.309,171.912,170.158,180.426,433.376,447.273,160.033,419.179,
198.063,195.836,189.192,190.856,182.309,170.388,177.822,154.854,391.747,438.042,156.325,445.400,
198.063,195.836,189.192,190.856,182.309,178.192,178.284,155.077,511.727,407.745,156.809,441.211,
198.063,195.836,189.192,190.856,182.309,175.419,171.396,167.537,414.017,565.873,164.854,445.100,
198.063,195.836,189.192,190.856,182.309,177.930,171.798,152.502,476.087,437.010,157.046,432.059,
198.063,195.836,189.192,190.856,182.309,173.319,170.904,169.724,487.645,356.027,156.665,461.433,
198.063,195.836,189.192,190.856,182.309,176.126,176.340,176.191,493.347,461.273,172.866,423.716,
198.063,195.836,189.192,190.856,182.309,175.036,171.021,172.475,458.583,471.172,160.179,452.782,
198.063,195.836,189.192,190.856,182.309,180.123,171.761,160.304,473.161,449.271,166.810,442.683,
198.063,195.836,189.192,190.856,182.309,175.469,170.634,173.497,444.857,441.335,175.560,450.732,
198.063,195.836,189.192,190.856,182.309,172.191,169.440,161.212,416.545,408.327,155.998,431.294,
198.063,195.836,189.192,190.856,182.309,169.954,175.944,164.117,474.344,415.928,153.222,455.736,
198.063,195.836,189.192,190.856,182.309,173.903,173.857,168.030,436.634,539.305,162.158,450.355,
198.063,195.836,189.192,190.856,182.309,176.104,172.593,166.872,459.240,480.895,161.836,478.892,
198.063,195.836,189.192,190.856,182.309,175.859,171.914,165.325,407.034,427.444,155.296,445.692,
198.063,195.836,189.192,190.856,182.309,169.426,173.231,161.925,440.931,456.033,158.505,447.570,
198.063,195.836,189.192,190.856,182.309,175.718,179.864,159.861,440.026,398.864,158.245,430.337,
198.063,195.836,189.192,190.856,182.309,170.552,180.639,157.002,435.383,435.978,172.891,427.557,
198.063,195.836,189.192,190.856,182.309,166.424,174.572,159.329,426.185,450.022,154.410,435.975,
198.063,195.836,189.192,190.856,182.309,176.384,171.729,156.296,514.568,403.338,154.048,449.095,
198.063,195.836,189.192,190.856,182.309,177.269,170.244,157.649,469.325,501.232,154.927,463.487,
198.063,195.836,189.192,190.856,182.309,171.942,173.491,155.978,434.297,438.493,169.982,452.075,
198.063,195.836,189.192,190.856,182.309,176.344,165.877,169.577,500.336,487.858,154.877,467.979,
198.063,195.836,189.192,190.856,182.309,178.147,172.579,171.372,480.513,386.422,164.021,444.132,
198.063,195.836,189.192,190.856,182.309,175.548,175.163,160.332,461.877,508.405,162.194,467.498,
198.063,195.836,189.192,190.856,182.309,171.974,170.516,157.289,458.885,469.893,165.158,431.464,
198.063,195.836,189.192,190.856,182.309,175.844,171.752,170.147,462.098,409.231,158.037,437.521,
