LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
21.835,21.605,20.837,20.886,19.874,17.157,17.913,19.075,48.538,55.136,16.492,45.414,
21.835,21.605,20.837,20.886,19.874,19.237,18.107,16.427,56.118,46.121,16.194,49.097,
21.835,21.605,20.837,20.886,19.874,17.663,16.886,15.702,46.202,53.298,17.532,49.424,
21.835,21.605,20.837,20.886,19.874,17.719,17.366,18.897,47.944,48.006,16.854,46.085,
21.835,21.605,20.837,20.886,19.874,17.359,18.464,16.141,42.745,48.457,16.309,48.270,
21.835,21.605,20.837,20.886,19.874,18.498,18.724,16.020,54.080,42.739,16.180,47.997,
21.835,21.605,20.837,20.886,19.874,17.940,17.524,16.991,45.214,59.035,16.904,48.276,
21.835,21.605,20.837,20.886,19.874,18.686,17.384,15.430,50.005,48.118,16.515,47.123,
21.835,21.605,20.837,20.886,19.874,17.939,17.304,16.982,52.017,39.078,15.852,49.577,
21.835,21.605,20.837,20.886,19.874,18.154,18.158,18.006,52.050,49.322,17.857,46.133,
21.835,21.605,20.837,20.886,19.874,17.926,17.385,17.767,48.806,50.862,16.669,49.260,
21.835,21.605,20.837,20.886,19.874,18.912,17.949,16.732,50.648,49.138,17.687,48.221,
21.835,21.605,20.837,20.886,19.874,18.283,17.550,17.763,48.627,47.934,18.291,48.718,
21.835,21.605,20.837,20.886,19.874,17.983,17.499,16.751,45.430,44.868,15.934,46.822,
21.835,21.605,20.837,20.886,19.874,17.481,18.049,17.280,51.380,46.184,15.902,49.335,
21.835,21.605,20.837,20.886,19.874,16.998,17.338,17.397,47.545,58.521,17.161,48.712,
21.835,21.605,20.837,20.886,19.874,18.049,17.817,16.855,48.947,51.743,17.043,51.728,
21.835,21.605,20.837,20.886,19.874,18.257,17.619,17.258,43.779,46.070,15.964,48.698,
21.835,21.605,20.837,20.886,19.874,17.463,18.098,16.563,46.663,48.233,16.584,48.872,
21.835,21.605,20.837,20.886,19.874,18.156,18.833,16.877,48.387,43.494,15.946,46.910,
21.835,21.605,20.837,20.886,19.874,17.199,18.660,15.749,46.363,47.321,17.356,46.881,
21.835,21.605,20.837,20.886,19.874,16.913,17.684,16.621,44.459,48.078,16.044,47.195,
21.835,21.605,20.837,20.886,19.874,18.380,17.780,16.478,54.081,43.417,15.913,48.597,
21.835,21.605,20.837,20.886,19.874,18.359,17.623,16.496,49.824,52.843,15.763,50.072,
21.835,21.605,20.837,20.886,19.874,17.966,18.169,16.408,47.898,47.691,17.244,49.333,
21.835,21.605,20.837,20.886,19.874,17.926,16.951,17.188,52.704,52.256,16.044,50.981,
21.835,21.605,20.837,20.886,19.874,18.490,17.731,17.239,51.701,42.625,16.613,48.218,
21.835,21.605,20.837,20.886,19.874,18.134,18.226,15.950,50.594,54.152,16.920,50.919,
21.835,21.605,20.837,20.886,19.874,17.773,17.195,16.483,48.965,51.996,17.370,47.452,
21.835,21.605,20.837,20.886,19.874,18.000,17.525,17.145,50.209,44.570,16.639,47.631,
