LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.389,0.394,0.426,0.412,0.435,0.471,0.454,0.462,0.000,0.000,0.529,0.000,
0.389,0.394,0.426,0.412,0.435,0.440,0.470,0.528,0.000,0.000,0.542,0.000,
0.389,0.394,0.426,0.412,0.435,0.451,0.485,0.515,0.000,0.000,0.505,0.000,
0.389,0.394,0.426,0.412,0.435,0.466,0.479,0.458,0.000,0.000,0.523,0.000,
0.389,0.394,0.426,0.412,0.435,0.461,0.464,0.533,0.000,0.000,0.534,0.000,
0.389,0.394,0.426,0.412,0.435,0.454,0.463,0.537,0.000,0.000,0.526,0.000,
0.389,0.394,0.426,0.412,0.435,0.434,0.478,0.498,0.000,0.000,0.506,0.000,
0.389,0.394,0.426,0.412,0.435,0.468,0.467,0.537,0.000,0.000,0.530,0.000,
0.389,0.394,0.426,0.412,0.435,0.465,0.460,0.478,0.000,0.000,0.515,0.000,
0.389,0.394,0.426,0.412,0.435,0.451,0.454,0.468,0.000,0.000,0.473,0.000,
0.389,0.394,0.426,0.412,0.435,0.452,0.464,0.488,0.000,0.000,0.526,0.000,
0.389,0.394,0.426,0.412,0.435,0.450,0.481,0.525,0.000,0.000,0.511,0.000,
0.389,0.394,0.426,0.412,0.435,0.464,0.478,0.480,0.000,0.000,0.478,0.000,
0.389,0.394,0.426,0.412,0.435,0.477,0.465,0.524,0.000,0.000,0.526,0.000,
0.389,0.394,0.426,0.412,0.435,0.461,0.452,0.513,0.000,0.000,0.537,0.000,
0.389,0.394,0.426,0.412,0.435,0.408,0.452,0.494,0.000,0.000,0.517,0.000,
0.389,0.394,0.426,0.412,0.435,0.442,0.468,0.498,0.000,0.000,0.521,0.000,
0.389,0.394,0.426,0.412,0.435,0.455,0.476,0.507,0.000,0.000,0.537,0.000,
0.389,0.394,0.426,0.412,0.435,0.462,0.464,0.515,0.000,0.000,0.528,0.000,
0.389,0.394,0.426,0.412,0.435,0.462,0.455,0.523,0.000,0.000,0.511,0.000,
0.389,0.394,0.426,0.412,0.435,0.453,0.450,0.512,0.000,0.000,0.465,0.000,
0.389,0.394,0.426,0.412,0.435,0.484,0.459,0.526,0.000,0.000,0.534,0.000,
0.389,0.394,0.426,0.412,0.435,0.455,0.467,0.535,0.000,0.000,0.540,0.000,
0.389,0.394,0.426,0.412,0.435,0.463,0.473,0.532,0.000,0.000,0.530,0.000,
0.389,0.394,0.426,0.412,0.435,0.476,0.476,0.539,0.000,0.000,0.484,0.000,
0.389,0.394,0.426,0.412,0.435,0.445,0.484,0.487,0.000,0.000,0.536,0.000,
0.389,0.394,0.426,0.412,0.435,0.453,0.462,0.466,0.000,0.000,0.490,0.000,
0.389,0.394,0.426,0.412,0.435,0.451,0.451,0.507,0.000,0.000,0.520,0.000,
0.389,0.394,0.426,0.412,0.435,0.475,0.468,0.535,0.000,0.000,0.513,0.000,
0.389,0.394,0.426,0.412,0.435,0.446,0.471,0.482,0.000,0.000,0.530,0.000,
