LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.839,0.829,0.801,0.808,0.772,0.713,0.740,0.768,1.886,2.177,0.672,1.774,
0.839,0.829,0.801,0.808,0.772,0.774,0.728,0.673,2.242,1.796,0.656,1.930,
0.839,0.829,0.801,0.808,0.772,0.731,0.701,0.671,1.800,2.081,0.707,1.930,
0.839,0.829,0.801,0.808,0.772,0.728,0.721,0.764,1.835,1.894,0.678,1.775,
0.839,0.829,0.801,0.808,0.772,0.722,0.753,0.656,1.659,1.855,0.662,1.886,
0.839,0.829,0.801,0.808,0.772,0.755,0.755,0.657,2.167,1.727,0.664,1.868,
0.839,0.829,0.801,0.808,0.772,0.743,0.726,0.709,1.753,2.396,0.698,1.885,
0.839,0.829,0.801,0.808,0.772,0.753,0.728,0.646,2.016,1.851,0.665,1.830,
0.839,0.829,0.801,0.808,0.772,0.734,0.724,0.719,2.065,1.508,0.663,1.954,
0.839,0.829,0.801,0.808,0.772,0.746,0.747,0.746,2.089,1.953,0.732,1.794,
0.839,0.829,0.801,0.808,0.772,0.741,0.724,0.730,1.942,1.995,0.678,1.917,
0.839,0.829,0.801,0.808,0.772,0.763,0.727,0.679,2.004,1.903,0.706,1.875,
0.839,0.829,0.801,0.808,0.772,0.743,0.723,0.735,1.884,1.869,0.743,1.909,
0.839,0.829,0.801,0.808,0.772,0.729,0.718,0.683,1.764,1.729,0.661,1.826,
0.839,0.829,0.801,0.808,0.772,0.720,0.745,0.695,2.009,1.761,0.649,1.930,
0.839,0.829,0.801,0.808,0.772,0.736,0.736,0.712,1.849,2.284,0.687,1.907,
0.839,0.829,0.801,0.808,0.772,0.746,0.731,0.707,1.945,2.036,0.685,2.028,
0.839,0.829,0.801,0.808,0.772,0.745,0.728,0.700,1.724,1.810,0.658,1.887,
0.839,0.829,0.801,0.808,0.772,0.717,0.734,0.686,1.867,1.931,0.671,1.895,
0.839,0.829,0.801,0.808,0.772,0.744,0.762,0.677,1.863,1.689,0.670,1.822,
0.839,0.829,0.801,0.808,0.772,0.722,0.765,0.665,1.844,1.846,0.732,1.811,
0.839,0.829,0.801,0.808,0.772,0.705,0.739,0.675,1.805,1.906,0.654,1.846,
0.839,0.829,0.801,0.808,0.772,0.747,0.727,0.662,2.179,1.708,0.652,1.902,
0.839,0.829,0.801,0.808,0.772,0.751,0.721,0.668,1.987,2.123,0.656,1.963,
0.839,0.829,0.801,0.808,0.772,0.728,0.735,0.661,1.839,1.857,0.720,1.914,
0.839,0.829,0.801,0.808,0.772,0.747,0.702,0.718,2.119,2.066,0.656,1.982,
0.839,0.829,0.801,0.808,0.772,0.754,0.731,0.726,2.035,1.636,0.695,1.881,
0.839,0.829,0.801,0.808,0.772,0.743,0.742,0.679,1.956,2.153,0.687,1.980,
0.839,0.829,0.801,0.808,0.772,0.728,0.722,0.666,1.943,1.990,0.699,1.827,
0.839,0.829,0.801,0.808,0.772,0.745,0.727,0.721,1.957,1.733,0.669,1.853,
