LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
262.625,261.562,254.560,257.803,252.645,244.469,248.395,246.575,493.481,560.503,230.689,464.010,
262.625,261.562,254.560,257.803,252.645,251.584,244.581,230.954,584.497,481.928,227.547,498.971,
262.625,261.562,254.560,257.803,252.645,248.974,241.253,234.121,480.855,543.492,236.488,497.385,
262.625,261.562,254.560,257.803,252.645,245.666,242.671,247.477,487.423,496.560,232.016,470.778,
262.625,261.562,254.560,257.803,252.645,246.811,246.086,229.562,472.682,496.235,229.381,485.904,
262.625,261.562,254.560,257.803,252.645,248.283,246.209,228.688,565.141,475.601,231.253,485.380,
262.625,261.562,254.560,257.803,252.645,252.889,242.769,238.016,458.396,628.704,236.227,488.609,
262.625,261.562,254.560,257.803,252.645,245.220,245.409,228.594,541.923,498.739,230.293,477.932,
262.625,261.562,254.560,257.803,252.645,245.811,246.962,242.908,527.351,412.492,233.934,502.558,
262.625,261.562,254.560,257.803,252.645,249.008,248.332,245.152,551.847,510.832,244.036,469.594,
262.625,261.562,254.560,257.803,252.645,248.694,245.944,240.510,505.044,510.144,231.373,492.055,
262.625,261.562,254.560,257.803,252.645,249.206,242.155,231.686,526.456,499.755,234.949,486.850,
262.625,261.562,254.560,257.803,252.645,246.000,242.765,242.359,491.333,497.196,242.896,489.952,
262.625,261.562,254.560,257.803,252.645,243.119,245.836,231.913,469.680,459.291,231.375,478.682,
262.625,261.562,254.560,257.803,252.645,246.760,248.770,234.604,517.056,482.705,228.632,501.334,
262.625,261.562,254.560,257.803,252.645,258.481,248.793,238.995,477.341,587.128,233.655,490.373,
262.625,261.562,254.560,257.803,252.645,251.070,245.231,238.127,525.392,535.577,232.687,520.953,
262.625,261.562,254.560,257.803,252.645,248.153,243.245,236.063,449.741,491.276,228.574,487.522,
262.625,261.562,254.560,257.803,252.645,246.401,245.943,234.093,509.680,519.543,230.929,491.976,
262.625,261.562,254.560,257.803,252.645,246.427,248.129,232.169,498.230,452.421,234.897,474.433,
262.625,261.562,254.560,257.803,252.645,248.580,249.137,234.822,479.687,501.159,245.828,475.908,
262.625,261.562,254.560,257.803,252.645,241.337,247.137,231.395,501.663,501.604,229.482,477.796,
262.625,261.562,254.560,257.803,252.645,248.199,245.421,229.270,588.570,452.038,227.981,490.540,
262.625,261.562,254.560,257.803,252.645,246.156,243.946,229.989,518.698,566.739,230.487,503.137,
262.625,261.562,254.560,257.803,252.645,243.281,243.230,228.097,493.947,492.998,241.342,495.773,
262.625,261.562,254.560,257.803,252.645,250.364,241.337,240.819,560.845,553.016,228.882,508.775,
262.625,261.562,254.560,257.803,252.645,248.555,246.460,245.527,520.183,448.569,240.073,484.095,
262.625,261.562,254.560,257.803,252.645,248.907,248.943,235.874,521.076,562.969,232.911,509.568,
262.625,261.562,254.560,257.803,252.645,243.455,245.173,229.200,520.557,535.156,234.599,478.975,
262.625,261.562,254.560,257.803,252.645,250.036,244.364,241.860,501.991,477.811,230.400,481.103,
