LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.781,0.778,0.757,0.767,0.752,0.727,0.739,0.734,1.468,1.668,0.686,1.381,
0.781,0.778,0.757,0.767,0.752,0.749,0.728,0.687,1.739,1.434,0.677,1.485,
0.781,0.778,0.757,0.767,0.752,0.741,0.718,0.697,1.431,1.617,0.704,1.480,
0.781,0.778,0.757,0.767,0.752,0.731,0.722,0.736,1.450,1.478,0.690,1.401,
0.781,0.778,0.757,0.767,0.752,0.734,0.732,0.683,1.407,1.477,0.683,1.446,
0.781,0.778,0.757,0.767,0.752,0.739,0.733,0.680,1.682,1.415,0.688,1.444,
0.781,0.778,0.757,0.767,0.752,0.752,0.722,0.708,1.364,1.871,0.703,1.454,
0.781,0.778,0.757,0.767,0.752,0.730,0.730,0.680,1.613,1.484,0.685,1.422,
0.781,0.778,0.757,0.767,0.752,0.731,0.735,0.723,1.569,1.227,0.696,1.495,
0.781,0.778,0.757,0.767,0.752,0.741,0.739,0.729,1.642,1.520,0.726,1.397,
0.781,0.778,0.757,0.767,0.752,0.740,0.732,0.716,1.503,1.518,0.688,1.464,
0.781,0.778,0.757,0.767,0.752,0.742,0.721,0.689,1.567,1.487,0.699,1.449,
0.781,0.778,0.757,0.767,0.752,0.732,0.722,0.721,1.462,1.479,0.723,1.458,
0.781,0.778,0.757,0.767,0.752,0.723,0.732,0.690,1.398,1.367,0.688,1.424,
0.781,0.778,0.757,0.767,0.752,0.734,0.740,0.698,1.539,1.436,0.680,1.492,
0.781,0.778,0.757,0.767,0.752,0.769,0.740,0.711,1.420,1.747,0.695,1.459,
0.781,0.778,0.757,0.767,0.752,0.747,0.730,0.709,1.563,1.594,0.692,1.550,
0.781,0.778,0.757,0.767,0.752,0.738,0.724,0.702,1.338,1.462,0.680,1.451,
0.781,0.778,0.757,0.767,0.752,0.733,0.732,0.697,1.517,1.546,0.687,1.464,
0.781,0.778,0.757,0.767,0.752,0.733,0.738,0.691,1.483,1.346,0.699,1.412,
0.781,0.778,0.757,0.767,0.752,0.740,0.741,0.699,1.427,1.491,0.731,1.416,
0.781,0.778,0.757,0.767,0.752,0.718,0.735,0.689,1.493,1.493,0.683,1.422,
0.781,0.778,0.757,0.767,0.752,0.739,0.730,0.682,1.751,1.345,0.678,1.460,
0.781,0.778,0.757,0.767,0.752,0.732,0.726,0.684,1.543,1.686,0.686,1.497,
0.781,0.778,0.757,0.767,0.752,0.724,0.724,0.679,1.470,1.467,0.718,1.475,
0.781,0.778,0.757,0.767,0.752,0.745,0.718,0.717,1.669,1.646,0.681,1.514,
0.781,0.778,0.757,0.767,0.752,0.740,0.733,0.731,1.548,1.335,0.714,1.440,
0.781,0.778,0.757,0.767,0.752,0.741,0.741,0.702,1.551,1.675,0.693,1.516,
0.781,0.778,0.757,0.767,0.752,0.724,0.730,0.682,1.549,1.592,0.698,1.425,
0.781,0.778,0.757,0.767,0.752,0.744,0.727,0.720,1.494,1.422,0.686,1.432,
